key,value
66_turn_0_frag_text,"
5 3 1
"
67_turn_n,68
67_turn_speaker,B
67_turn_text,"
"
67_turn_0_frag_n,121
67_turn_0_frag_sp-act,answElab
67_turn_0_frag_polarity,positive
67_turn_0_frag_topic,enum
67_turn_0_frag_mode,
67_turn_0_frag_text,"
1 5 1
"
68_turn_n,69
68_turn_speaker,A
68_turn_text,"
"
68_turn_0_frag_n,122
68_turn_0_frag_sp-act,echo
68_turn_0_frag_polarity,positive
68_turn_0_frag_topic,enum
68_turn_0_frag_mode,
68_turn_0_frag_text,"
1 5 1
"
69_turn_n,70
69_turn_speaker,B
69_turn_text,"
"
69_turn_0_frag_n,123
69_turn_0_frag_sp-act,answElab
69_turn_0_frag_polarity,positive
69_turn_0_frag_topic,enum
69_turn_0_frag_mode,
69_turn_0_frag_text,"
8 6 1
"
70_turn_n,71
70_turn_speaker,A
70_turn_text,"
"
70_turn_0_frag_n,124
70_turn_0_frag_sp-act,echo
70_turn_0_frag_polarity,positive
70_turn_0_frag_topic,enum
70_turn_0_frag_mode,
70_turn_0_frag_text,"
8 6 1
"
71_turn_n,72
71_turn_speaker,B
71_turn_text,"
"
71_turn_0_frag_n,125
71_turn_0_frag_sp-act,answElab
71_turn_0_frag_polarity,positive
71_turn_0_frag_topic,enum
71_turn_0_frag_mode,
71_turn_0_frag_text,"
9 1 1
"
72_turn_n,73
72_turn_speaker,A
72_turn_text,"
"
72_turn_0_frag_n,126
72_turn_0_frag_sp-act,echo
72_turn_0_frag_polarity,positive
72_turn_0_frag_topic,enum
72_turn_0_frag_mode,
72_turn_0_frag_text,"
9 1 1
"
73_turn_n,74
73_turn_speaker,B
73_turn_text,"
"
73_turn_0_frag_n,127
73_turn_0_frag_sp-act,answElab
73_turn_0_frag_polarity,positive
73_turn_0_frag_topic,enum
73_turn_0_frag_mode,
73_turn_0_frag_text,"
0 1 5
"
74_turn_n,75
74_turn_speaker,A
74_turn_text,"
"
74_turn_0_frag_n,128
74_turn_0_frag_sp-act,echo
74_turn_0_frag_polarity,positive
74_turn_0_frag_topic,enum
74_turn_0_frag_mode,
74_turn_0_frag_text,"
0 1 5
"
74_turn_1_frag_n,129
74_turn_1_frag_sp-act,reqInfo
74_turn_1_frag_polarity,positive
74_turn_1_frag_topic,number
74_turn_1_frag_mode,
74_turn_1_frag_text,"
and the issue number
"
75_turn_n,76
75_turn_speaker,B
75_turn_text,"
"
75_turn_0_frag_n,130
75_turn_0_frag_sp-act,inform
75_turn_0_frag_polarity,positive
75_turn_0_frag_topic,enum
75_turn_0_frag_mode,partial
75_turn_0_frag_text,"
2
"
76_turn_n,77
76_turn_speaker,A
76_turn_text,"
"
76_turn_0_frag_n,131
76_turn_0_frag_sp-act,reqInfo
76_turn_0_frag_polarity,positive
76_turn_0_frag_topic,creditcard
76_turn_0_frag_mode,
76_turn_0_frag_text,"
and the expiry date
"
77_turn_n,78
77_turn_speaker,B
77_turn_text,"
"
77_turn_0_frag_n,132
77_turn_0_frag_sp-act,inform
77_turn_0_frag_polarity,positive
77_turn_0_frag_topic,month
77_turn_0_frag_mode,
77_turn_0_frag_text,"
November this year
"
78_turn_n,79
78_turn_speaker,A
78_turn_text,"
"
78_turn_0_dm_n,133
78_turn_0_dm_sp-act,init
78_turn_0_dm_text,"
"
78_turn_0_dm_0_pause_length,3s
78_turn_1_decl_n,134
78_turn_1_decl_sp-act,inform
78_turn_1_decl_polarity,positive
78_turn_1_decl_topic,booking-number-journey
78_turn_1_decl_mode,
78_turn_1_decl_text,"
this is your reference number your tickets have been booked under
"
79_turn_n,80
79_turn_speaker,B
79_turn_text,"
"
79_turn_0_dm_n,135
79_turn_0_dm_sp-act,ackn
79_turn_0_dm_polarity,positive
79_turn_0_dm_text,"
ok
"
80_turn_n,81
80_turn_speaker,A
80_turn_text,"
"
80_turn_0_decl_n,136
80_turn_0_decl_sp-act,inform
80_turn_0_decl_polarity,positive
80_turn_0_decl_topic,spell-name
80_turn_0_decl_mode,
80_turn_0_decl_text,"
it's {letter}%25 for %alpha {letter}%22 for %alpha "
81_turn_n,82
81_turn_speaker,B
81_turn_text,"
"
81_turn_0_yes_n,137
81_turn_0_yes_sp-act,ackn
81_turn_0_yes_text,"
yeah
"
82_turn_n,83
82_turn_speaker,A
82_turn_text,"
"
82_turn_0_frag_n,138
82_turn_0_frag_sp-act,inform
82_turn_0_frag_polarity,positive
82_turn_0_frag_topic,spell-name
82_turn_0_frag_mode,deixis
82_turn_0_frag_text,"
{letter}%13 for %alpha the number 5 "
83_turn_n,84
83_turn_speaker,B
83_turn_text,"
"
83_turn_0_dm_n,139
83_turn_0_dm_sp-act,ackn
83_turn_0_dm_polarity,positive
83_turn_0_dm_text,"
right
"
84_turn_n,85
84_turn_speaker,A
84_turn_text,"
"
84_turn_0_decl_n,140
84_turn_0_decl_sp-act,inform
84_turn_0_decl_polarity,positive
84_turn_0_decl_topic,fare-booking-creditcard
84_turn_0_decl_mode,deixis
84_turn_0_decl_text,"
and 40 pounds exactly's been debited from your debit card
"
84_turn_1_decl_n,141
84_turn_1_decl_sp-act,inform
84_turn_1_decl_polarity,positive
84_turn_1_decl_topic,time-number-journey
84_turn_1_decl_mode,
84_turn_1_decl_text,"
and the two tickets will be posted out first class to you this afternoon
"
84_turn_2_dm_n,142
84_turn_2_dm_sp-act,init
84_turn_2_dm_polarity,positive
84_turn_2_dm_text,"
ok now
"
85_turn_n,86
85_turn_speaker,B
85_turn_text,"
"
85_turn_0_decl_n,143
85_turn_0_decl_sp-act,appreciate
85_turn_0_decl_polarity,positive
85_turn_0_decl_topic,
85_turn_0_decl_mode,appreciate
85_turn_0_decl_text,"
that's brilliant
"
86_turn_n,87
86_turn_speaker,A
86_turn_text,"
"
86_turn_0_frag_n,144
86_turn_0_frag_sp-act,thank
86_turn_0_frag_mode,
86_turn_0_frag_text,"
thank you for calling
"
87_turn_n,88
87_turn_speaker,B
87_turn_text,"
"
87_turn_0_frag_n,145
87_turn_0_frag_sp-act,thank-bye
87_turn_0_frag_mode,farewell
87_turn_0_frag_text,"
thanks very much "
87_turn_0_frag_0_overlap_type,start
88_turn_n,89
88_turn_speaker,A
88_turn_text,"
"
88_turn_0_frag_n,146
88_turn_0_frag_sp-act,bye
88_turn_0_frag_polarity,positive
88_turn_0_frag_topic,closing
88_turn_0_frag_mode,partial-farewell
88_turn_0_frag_text,"
bye "
88_turn_0_frag_0_overlap_type,end
