,0
dialogue_children_43_turn_speaker,B
dialogue_children_43_turn_text,"
"
dialogue_children_43_turn_children_0_yes_n,82
dialogue_children_43_turn_children_0_yes_sp-act,ackn
dialogue_children_43_turn_children_0_yes_text,"
yep
"
dialogue_children_44_turn_n,45
dialogue_children_44_turn_speaker,A
dialogue_children_44_turn_text,"
"
dialogue_children_44_turn_children_0_decl_n,83
dialogue_children_44_turn_children_0_decl_sp-act,informIntent
dialogue_children_44_turn_children_0_decl_polarity,positive
dialogue_children_44_turn_children_0_decl_topic,seat-booking
dialogue_children_44_turn_children_0_decl_mode,intent-report
dialogue_children_44_turn_children_0_decl_text,"
i'm going to book you a forward facing seat again "
dialogue_children_44_turn_children_0_decl_children_0_pause_length,2s
dialogue_children_44_turn_children_1_dm_n,84
dialogue_children_44_turn_children_1_dm_sp-act,init
dialogue_children_44_turn_children_1_dm_text,"
now
"
dialogue_children_44_turn_children_2_frag_n,85
dialogue_children_44_turn_children_2_frag_sp-act,refer
dialogue_children_44_turn_children_2_frag_polarity,positive
dialogue_children_44_turn_children_2_frag_topic,fare
dialogue_children_44_turn_children_2_frag_mode,deixis
dialogue_children_44_turn_children_2_frag_text,"
with the standard open single
"
dialogue_children_44_turn_children_3_decl_n,86
dialogue_children_44_turn_children_3_decl_sp-act,inform
dialogue_children_44_turn_children_3_decl_polarity,positive
dialogue_children_44_turn_children_3_decl_topic,miss
dialogue_children_44_turn_children_3_decl_mode,condition
dialogue_children_44_turn_children_3_decl_text,"
if you miss the service i've reserved you on
"
dialogue_children_44_turn_children_4_decl_n,87
dialogue_children_44_turn_children_4_decl_sp-act,inform
dialogue_children_44_turn_children_4_decl_polarity,positive
dialogue_children_44_turn_children_4_decl_topic,avail
dialogue_children_44_turn_children_4_decl_mode,poss2
dialogue_children_44_turn_children_4_decl_text,"
you are able to get the next available train "
dialogue_children_44_turn_children_4_decl_children_0_backchannel_content,right
dialogue_children_44_turn_children_5_decl_n,88
dialogue_children_44_turn_children_5_decl_sp-act,inform
dialogue_children_44_turn_children_5_decl_polarity,positive
dialogue_children_44_turn_children_5_decl_topic,refund-fare
dialogue_children_44_turn_children_5_decl_mode,
dialogue_children_44_turn_children_5_decl_text,"
and it's a full refund less 5 pounds
"
dialogue_children_44_turn_children_6_decl_n,89
dialogue_children_44_turn_children_6_decl_sp-act,inform
dialogue_children_44_turn_children_6_decl_polarity,positive
dialogue_children_44_turn_children_6_decl_topic,cancel
dialogue_children_44_turn_children_6_decl_mode,condition-constrain
dialogue_children_44_turn_children_6_decl_text,"
if you have to cancel "
dialogue_children_44_turn_children_6_decl_children_0_backchannel_content,right
dialogue_children_44_turn_children_7_frag_n,90
dialogue_children_44_turn_children_7_frag_sp-act,refer
dialogue_children_44_turn_children_7_frag_polarity,positive
dialogue_children_44_turn_children_7_frag_topic,fare
dialogue_children_44_turn_children_7_frag_mode,deixis-constrain
dialogue_children_44_turn_children_7_frag_text,"
but with the Virgin value fare
"
dialogue_children_44_turn_children_8_decl_n,91
dialogue_children_44_turn_children_8_decl_sp-act,inform
dialogue_children_44_turn_children_8_decl_polarity,positive
dialogue_children_44_turn_children_8_decl_topic,time-date-booking
dialogue_children_44_turn_children_8_decl_mode,constrain
dialogue_children_44_turn_children_8_decl_text,"
you must stick to the date and time that you book "
dialogue_children_44_turn_children_8_decl_children_0_backchannel_content,right
dialogue_children_44_turn_children_9_decl_n,92
dialogue_children_44_turn_children_9_decl_sp-act,inform
dialogue_children_44_turn_children_9_decl_polarity,positive
dialogue_children_44_turn_children_9_decl_topic,preference-time-journey
dialogue_children_44_turn_children_9_decl_mode,condition
dialogue_children_44_turn_children_9_decl_text,"
if you wanted to change the time of that travel
"
dialogue_children_44_turn_children_10_decl_n,93
dialogue_children_44_turn_children_10_decl_sp-act,inform
dialogue_children_44_turn_children_10_decl_polarity,positive
dialogue_children_44_turn_children_10_decl_topic,time-day-journey
dialogue_children_44_turn_children_10_decl_mode,constrain
dialogue_children_44_turn_children_10_decl_text,"
you must do so by 6 o'clock the day before your outward journey "
dialogue_children_44_turn_children_10_decl_children_0_backchannel_content,yeah
dialogue_children_44_turn_children_11_decl_n,94
dialogue_children_44_turn_children_11_decl_sp-act,inform
dialogue_children_44_turn_children_11_decl_polarity,positive
dialogue_children_44_turn_children_11_decl_topic,avail-fare
dialogue_children_44_turn_children_11_decl_mode,constrain
dialogue_children_44_turn_children_11_decl_text,"
and it's subject to availability and 5 pounds charge
"
dialogue_children_45_turn_n,46
dialogue_children_45_turn_speaker,B
dialogue_children_45_turn_text,"
"
dialogue_children_45_turn_children_0_dm_n,95
dialogue_children_45_turn_children_0_dm_sp-act,ackn
dialogue_children_45_turn_children_0_dm_polarity,positive
dialogue_children_45_turn_children_0_dm_text,"
right
"
dialogue_children_46_turn_n,47
dialogue_children_46_turn_speaker,A
dialogue_children_46_turn_text,"
"
dialogue_children_46_turn_children_0_dm_n,96
dialogue_children_46_turn_children_0_dm_sp-act,init
dialogue_children_46_turn_children_0_dm_text,"
now
"
dialogue_children_46_turn_children_1_frag_n,97
dialogue_children_46_turn_children_1_frag_sp-act,reqInfo
dialogue_children_46_turn_children_1_frag_polarity,positive
dialogue_children_46_turn_children_1_frag_topic,name
dialogue_children_46_turn_children_1_frag_mode,open
dialogue_children_46_turn_children_1_frag_text,"
your surname please
"
dialogue_children_47_turn_n,48
dialogue_children_47_turn_speaker,B
dialogue_children_47_turn_text,"
"
dialogue_children_47_turn_children_0_frag_n,98
dialogue_children_47_turn_children_0_frag_sp-act,answ
dialogue_children_47_turn_children_0_frag_polarity,positive
dialogue_children_47_turn_children_0_frag_topic,spell-name
dialogue_children_47_turn_children_0_frag_mode,closure
dialogue_children_47_turn_children_0_frag_text,"
{surname}%5%18%16%5%23%18%0 {letter}%5 {letter}%18 {letter}%16 {letter}%5 {letter}%23 {letter}%18 {letter}%0
"
dialogue_children_48_turn_n,49
dialogue_children_48_turn_speaker,A
dialogue_children_48_turn_text,"
"
dialogue_children_48_turn_children_0_frag_n,99
dialogue_children_48_turn_children_0_frag_sp-act,reqInfo
dialogue_children_48_turn_children_0_frag_polarity,positive
dialogue_children_48_turn_children_0_frag_topic,name
dialogue_children_48_turn_children_0_frag_mode,open
dialogue_children_48_turn_children_0_frag_text,"
"
dialogue_children_49_turn_n,50
dialogue_children_49_turn_speaker,B
dialogue_children_49_turn_text,"
"
dialogue_children_49_turn_children_0_frag_n,100
dialogue_children_49_turn_children_0_frag_sp-act,answ
dialogue_children_49_turn_children_0_frag_polarity,positive
dialogue_children_49_turn_children_0_frag_topic,spell
dialogue_children_49_turn_children_0_frag_mode,partial-closure
dialogue_children_49_turn_children_0_frag_text,"
{letter}%11
"
dialogue_children_50_turn_n,51
dialogue_children_50_turn_speaker,A
dialogue_children_50_turn_text,"
"
dialogue_children_50_turn_children_0_frag_n,101
dialogue_children_50_turn_children_0_frag_sp-act,reqInfo
dialogue_children_50_turn_children_0_frag_polarity,positive
dialogue_children_50_turn_children_0_frag_topic,name
dialogue_children_50_turn_children_0_frag_mode,open
dialogue_children_50_turn_children_0_frag_text,"
and your title
"
dialogue_children_51_turn_n,52
dialogue_children_51_turn_speaker,B
dialogue_children_51_turn_text,"
"
dialogue_children_51_turn_children_0_frag_n,102
dialogue_children_51_turn_children_0_frag_sp-act,answ
dialogue_children_51_turn_children_0_frag_polarity,positive
dialogue_children_51_turn_children_0_frag_topic,
dialogue_children_51_turn_children_0_frag_mode,partial-closure
dialogue_children_51_turn_children_0_frag_text,"
Doctor
"
dialogue_children_52_turn_n,53
dialogue_children_52_turn_speaker,A
dialogue_children_52_turn_text,"
"
dialogue_children_52_turn_children_0_frag_n,103
dialogue_children_52_turn_children_0_frag_sp-act,reqInfo
dialogue_children_52_turn_children_0_frag_polarity,positive
dialogue_children_52_turn_children_0_frag_topic,telephone-number
dialogue_children_52_turn_children_0_frag_mode,open
dialogue_children_52_turn_children_0_frag_text,"
and your contact telephone number
"
dialogue_children_53_turn_n,54
dialogue_children_53_turn_speaker,B
dialogue_children_53_turn_text,"
"
dialogue_children_53_turn_children_0_frag_n,104
dialogue_children_53_turn_children_0_frag_sp-act,answ
dialogue_children_53_turn_children_0_frag_polarity,positive
dialogue_children_53_turn_children_0_frag_topic,enum
dialogue_children_53_turn_children_0_frag_mode,closure
dialogue_children_53_turn_children_0_frag_text,"
em 0 1 1 1
"
dialogue_children_54_turn_n,55
dialogue_children_54_turn_speaker,A
dialogue_children_54_turn_text,"
"
dialogue_children_54_turn_children_0_dm_n,105
dialogue_children_54_turn_children_0_dm_sp-act,ackn
dialogue_children_54_turn_children_0_dm_polarity,positive
dialogue_children_54_turn_children_0_dm_text,"
"
dialogue_children_55_turn_n,56
dialogue_children_55_turn_speaker,B
dialogue_children_55_turn_text,"
"
dialogue_children_55_turn_children_0_frag_n,106
dialogue_children_55_turn_children_0_frag_sp-act,answElab
dialogue_children_55_turn_children_0_frag_polarity,positive
dialogue_children_55_turn_children_0_frag_topic,enum
dialogue_children_55_turn_children_0_frag_mode,
dialogue_children_55_turn_children_0_frag_text,"
1 0 5
"
dialogue_children_56_turn_n,57
dialogue_children_56_turn_speaker,A
dialogue_children_56_turn_text,"
"
dialogue_children_56_turn_children_0_dm_n,107
dialogue_children_56_turn_children_0_dm_sp-act,ackn
dialogue_children_56_turn_children_0_dm_polarity,positive
dialogue_children_56_turn_children_0_dm_text,"
"
dialogue_children_57_turn_n,58
dialogue_children_57_turn_speaker,B
dialogue_children_57_turn_text,"
"
dialogue_children_57_turn_children_0_frag_n,108
dialogue_children_57_turn_children_0_frag_sp-act,answElab
dialogue_children_57_turn_children_0_frag_polarity,positive
dialogue_children_57_turn_children_0_frag_topic,enum
dialogue_children_57_turn_children_0_frag_mode,
dialogue_children_57_turn_children_0_frag_text,"
1 2 1 8
"
dialogue_children_58_turn_n,59
dialogue_children_58_turn_speaker,A
dialogue_children_58_turn_text,"
"
dialogue_children_58_turn_children_0_frag_n,109
dialogue_children_58_turn_children_0_frag_sp-act,reqInfo
dialogue_children_58_turn_children_0_frag_polarity,positive
dialogue_children_58_turn_children_0_frag_topic,creditcard-address
dialogue_children_58_turn_children_0_frag_mode,open
dialogue_children_58_turn_children_0_frag_text,"
"
dialogue_children_58_turn_children_0_frag_children_0_pause_length,2s
dialogue_children_59_turn_n,60
dialogue_children_59_turn_speaker,B
dialogue_children_59_turn_text,"
"
dialogue_children_59_turn_children_0_frag_n,110
dialogue_children_59_turn_children_0_frag_sp-act,answ
dialogue_children_59_turn_children_0_frag_polarity,positive
dialogue_children_59_turn_children_0_frag_topic,enum-spell
dialogue_children_59_turn_children_0_frag_mode,closure
dialogue_children_59_turn_children_0_frag_text,"
{letter}%11 36 "
dialogue_children_60_turn_n,61
dialogue_children_60_turn_speaker,A
dialogue_children_60_turn_text,"
"
dialogue_children_60_turn_children_0_imp_n,111
dialogue_children_60_turn_children_0_imp_sp-act,direct
dialogue_children_60_turn_children_0_imp_polarity,positive
dialogue_children_60_turn_children_0_imp_topic,confirm-address
dialogue_children_60_turn_children_0_imp_mode,
dialogue_children_60_turn_children_0_imp_text,"
and confirm that address for me please
"
dialogue_children_61_turn_n,62
dialogue_children_61_turn_speaker,B
dialogue_children_61_turn_text,"
"
dialogue_children_61_turn_children_0_decl_n,112
dialogue_children_61_turn_children_0_decl_sp-act,answ
dialogue_children_61_turn_children_0_decl_polarity,positive
dialogue_children_61_turn_children_0_decl_topic,name-address
dialogue_children_61_turn_children_0_decl_mode,
dialogue_children_61_turn_children_0_decl_text,"
it's %street Avenue "
dialogue_children_61_turn_children_1_decl_n,113
dialogue_children_61_turn_children_1_decl_sp-act,answElab
dialogue_children_61_turn_children_1_decl_polarity,positive
dialogue_children_61_turn_children_1_decl_topic,number
dialogue_children_61_turn_children_1_decl_mode,
dialogue_children_61_turn_children_1_decl_text,"
it's number 11
"
dialogue_children_62_turn_n,63
dialogue_children_62_turn_speaker,A
dialogue_children_62_turn_text,"
"
dialogue_children_62_turn_children_0_frag_n,114
dialogue_children_62_turn_children_0_frag_sp-act,echo
dialogue_children_62_turn_children_0_frag_polarity,positive
dialogue_children_62_turn_children_0_frag_topic,enum
dialogue_children_62_turn_children_0_frag_mode,partial
dialogue_children_62_turn_children_0_frag_text,"
11 "
dialogue_children_62_turn_children_1_decl_n,115
dialogue_children_62_turn_children_1_decl_sp-act,reqInfo
dialogue_children_62_turn_children_1_decl_polarity,positive
dialogue_children_62_turn_children_1_decl_topic,number-creditcard
dialogue_children_62_turn_children_1_decl_mode,
dialogue_children_62_turn_children_1_decl_text,"
and "
dialogue_children_63_turn_n,64
dialogue_children_63_turn_speaker,B
dialogue_children_63_turn_text,"
"
dialogue_children_63_turn_children_0_decl_n,116
dialogue_children_63_turn_children_0_decl_sp-act,correct
dialogue_children_63_turn_children_0_decl_polarity,positive
dialogue_children_63_turn_children_0_decl_topic,creditcard
dialogue_children_63_turn_children_0_decl_mode,
dialogue_children_63_turn_children_0_decl_text,"
it's a debit card "
dialogue_children_63_turn_children_0_decl_children_0_backchannel_content,aha
dialogue_children_63_turn_children_1_frag_n,117
dialogue_children_63_turn_children_1_frag_sp-act,answ
dialogue_children_63_turn_children_1_frag_polarity,positive
dialogue_children_63_turn_children_1_frag_topic,enum-number
dialogue_children_63_turn_children_1_frag_mode,deixis
dialogue_children_63_turn_children_1_frag_text,"
number 1 3 5
"
dialogue_children_64_turn_n,65
dialogue_children_64_turn_speaker,A
dialogue_children_64_turn_text,"
"
dialogue_children_64_turn_children_0_frag_n,118
dialogue_children_64_turn_children_0_frag_sp-act,echo
dialogue_children_64_turn_children_0_frag_polarity,positive
dialogue_children_64_turn_children_0_frag_topic,enum
dialogue_children_64_turn_children_0_frag_mode,
dialogue_children_64_turn_children_0_frag_text,"
1 3 5
"
dialogue_children_65_turn_n,66
dialogue_children_65_turn_speaker,B
dialogue_children_65_turn_text,"
"
dialogue_children_65_turn_children_0_frag_n,119
dialogue_children_65_turn_children_0_frag_sp-act,answElab
dialogue_children_65_turn_children_0_frag_polarity,positive
dialogue_children_65_turn_children_0_frag_topic,enum
dialogue_children_65_turn_children_0_frag_mode,
dialogue_children_65_turn_children_0_frag_text,"
5 3 1
"
dialogue_children_66_turn_n,67
dialogue_children_66_turn_speaker,A
dialogue_children_66_turn_text,"
"
dialogue_children_66_turn_children_0_frag_n,120
dialogue_children_66_turn_children_0_frag_sp-act,echo
dialogue_children_66_turn_children_0_frag_polarity,positive
dialogue_children_66_turn_children_0_frag_topic,enum
dialogue_children_66_turn_children_0_frag_mode,
dialogue_children_66_turn_children_0_frag_text,"
5 3 1
"
dialogue_children_67_turn_n,68
dialogue_children_67_turn_speaker,B
dialogue_children_67_turn_text,"
"
dialogue_children_67_turn_children_0_frag_n,121
dialogue_children_67_turn_children_0_frag_sp-act,answElab
dialogue_children_67_turn_children_0_frag_polarity,positive
dialogue_children_67_turn_children_0_frag_topic,enum
dialogue_children_67_turn_children_0_frag_mode,
dialogue_children_67_turn_children_0_frag_text,"
1 5 1
"
dialogue_children_68_turn_n,69
dialogue_children_68_turn_speaker,A
dialogue_children_68_turn_text,"
"
dialogue_children_68_turn_children_0_frag_n,122
dialogue_children_68_turn_children_0_frag_sp-act,echo
dialogue_children_68_turn_children_0_frag_polarity,positive
dialogue_children_68_turn_children_0_frag_topic,enum
dialogue_children_68_turn_children_0_frag_mode,
dialogue_children_68_turn_children_0_frag_text,"
1 5 1
"
dialogue_children_69_turn_n,70
dialogue_children_69_turn_speaker,B
dialogue_children_69_turn_text,"
"
dialogue_children_69_turn_children_0_frag_n,123
dialogue_children_69_turn_children_0_frag_sp-act,answElab
dialogue_children_69_turn_children_0_frag_polarity,positive
dialogue_children_69_turn_children_0_frag_topic,enum
dialogue_children_69_turn_children_0_frag_mode,
dialogue_children_69_turn_children_0_frag_text,"
8 6 1
"
dialogue_children_70_turn_n,71
dialogue_children_70_turn_speaker,A
dialogue_children_70_turn_text,"
"
dialogue_children_70_turn_children_0_frag_n,124
dialogue_children_70_turn_children_0_frag_sp-act,echo
dialogue_children_70_turn_children_0_frag_polarity,positive
dialogue_children_70_turn_children_0_frag_topic,enum
dialogue_children_70_turn_children_0_frag_mode,
dialogue_children_70_turn_children_0_frag_text,"
8 6 1
"
dialogue_children_71_turn_n,72
dialogue_children_71_turn_speaker,B
dialogue_children_71_turn_text,"
"
dialogue_children_71_turn_children_0_frag_n,125
dialogue_children_71_turn_children_0_frag_sp-act,answElab
dialogue_children_71_turn_children_0_frag_polarity,positive
dialogue_children_71_turn_children_0_frag_topic,enum
dialogue_children_71_turn_children_0_frag_mode,
dialogue_children_71_turn_children_0_frag_text,"
9 1 1
"
dialogue_children_72_turn_n,73
dialogue_children_72_turn_speaker,A
dialogue_children_72_turn_text,"
"
dialogue_children_72_turn_children_0_frag_n,126
dialogue_children_72_turn_children_0_frag_sp-act,echo
dialogue_children_72_turn_children_0_frag_polarity,positive
dialogue_children_72_turn_children_0_frag_topic,enum
dialogue_children_72_turn_children_0_frag_mode,
dialogue_children_72_turn_children_0_frag_text,"
9 1 1
"
dialogue_children_73_turn_n,74
dialogue_children_73_turn_speaker,B
dialogue_children_73_turn_text,"
"
dialogue_children_73_turn_children_0_frag_n,127
dialogue_children_73_turn_children_0_frag_sp-act,answElab
dialogue_children_73_turn_children_0_frag_polarity,positive
dialogue_children_73_turn_children_0_frag_topic,enum
dialogue_children_73_turn_children_0_frag_mode,
dialogue_children_73_turn_children_0_frag_text,"
0 1 5
"
dialogue_children_74_turn_n,75
dialogue_children_74_turn_speaker,A
dialogue_children_74_turn_text,"
"
dialogue_children_74_turn_children_0_frag_n,128
dialogue_children_74_turn_children_0_frag_sp-act,echo
dialogue_children_74_turn_children_0_frag_polarity,positive
dialogue_children_74_turn_children_0_frag_topic,enum
dialogue_children_74_turn_children_0_frag_mode,
dialogue_children_74_turn_children_0_frag_text,"
0 1 5
"
dialogue_children_74_turn_children_1_frag_n,129
dialogue_children_74_turn_children_1_frag_sp-act,reqInfo
dialogue_children_74_turn_children_1_frag_polarity,positive
dialogue_children_74_turn_children_1_frag_topic,number
dialogue_children_74_turn_children_1_frag_mode,
dialogue_children_74_turn_children_1_frag_text,"
and the issue number
"
dialogue_children_75_turn_n,76
dialogue_children_75_turn_speaker,B
dialogue_children_75_turn_text,"
"
dialogue_children_75_turn_children_0_frag_n,130
dialogue_children_75_turn_children_0_frag_sp-act,inform
dialogue_children_75_turn_children_0_frag_polarity,positive
dialogue_children_75_turn_children_0_frag_topic,enum
dialogue_children_75_turn_children_0_frag_mode,partial
dialogue_children_75_turn_children_0_frag_text,"
2
"
dialogue_children_76_turn_n,77
dialogue_children_76_turn_speaker,A
dialogue_children_76_turn_text,"
"
dialogue_children_76_turn_children_0_frag_n,131
dialogue_children_76_turn_children_0_frag_sp-act,reqInfo
dialogue_children_76_turn_children_0_frag_polarity,positive
dialogue_children_76_turn_children_0_frag_topic,creditcard
dialogue_children_76_turn_children_0_frag_mode,
dialogue_children_76_turn_children_0_frag_text,"
and the expiry date
"
dialogue_children_77_turn_n,78
dialogue_children_77_turn_speaker,B
dialogue_children_77_turn_text,"
"
dialogue_children_77_turn_children_0_frag_n,132
dialogue_children_77_turn_children_0_frag_sp-act,inform
dialogue_children_77_turn_children_0_frag_polarity,positive
dialogue_children_77_turn_children_0_frag_topic,month
dialogue_children_77_turn_children_0_frag_mode,
dialogue_children_77_turn_children_0_frag_text,"
November this year
"
dialogue_children_78_turn_n,79
dialogue_children_78_turn_speaker,A
dialogue_children_78_turn_text,"
"
dialogue_children_78_turn_children_0_dm_n,133
dialogue_children_78_turn_children_0_dm_sp-act,init
dialogue_children_78_turn_children_0_dm_text,"
"
dialogue_children_78_turn_children_0_dm_children_0_pause_length,3s
dialogue_children_78_turn_children_1_decl_n,134
dialogue_children_78_turn_children_1_decl_sp-act,inform
dialogue_children_78_turn_children_1_decl_polarity,positive
dialogue_children_78_turn_children_1_decl_topic,booking-number-journey
dialogue_children_78_turn_children_1_decl_mode,
dialogue_children_78_turn_children_1_decl_text,"
this is your reference number your tickets have been booked under
"
dialogue_children_79_turn_n,80
dialogue_children_79_turn_speaker,B
dialogue_children_79_turn_text,"
"
dialogue_children_79_turn_children_0_dm_n,135
dialogue_children_79_turn_children_0_dm_sp-act,ackn
dialogue_children_79_turn_children_0_dm_polarity,positive
dialogue_children_79_turn_children_0_dm_text,"
ok
"
dialogue_children_80_turn_n,81
dialogue_children_80_turn_speaker,A
dialogue_children_80_turn_text,"
"
dialogue_children_80_turn_children_0_decl_n,136
dialogue_children_80_turn_children_0_decl_sp-act,inform
dialogue_children_80_turn_children_0_decl_polarity,positive
dialogue_children_80_turn_children_0_decl_topic,spell-name
dialogue_children_80_turn_children_0_decl_mode,
dialogue_children_80_turn_children_0_decl_text,"
it's {letter}%25 for %alpha {letter}%22 for %alpha "
dialogue_children_81_turn_n,82
dialogue_children_81_turn_speaker,B
dialogue_children_81_turn_text,"
"
dialogue_children_81_turn_children_0_yes_n,137
dialogue_children_81_turn_children_0_yes_sp-act,ackn
dialogue_children_81_turn_children_0_yes_text,"
yeah
"
dialogue_children_82_turn_n,83
dialogue_children_82_turn_speaker,A
dialogue_children_82_turn_text,"
"
dialogue_children_82_turn_children_0_frag_n,138
dialogue_children_82_turn_children_0_frag_sp-act,inform
dialogue_children_82_turn_children_0_frag_polarity,positive
dialogue_children_82_turn_children_0_frag_topic,spell-name
dialogue_children_82_turn_children_0_frag_mode,deixis
dialogue_children_82_turn_children_0_frag_text,"
{letter}%13 for %alpha the number 5 "
dialogue_children_83_turn_n,84
dialogue_children_83_turn_speaker,B
dialogue_children_83_turn_text,"
"
dialogue_children_83_turn_children_0_dm_n,139
dialogue_children_83_turn_children_0_dm_sp-act,ackn
dialogue_children_83_turn_children_0_dm_polarity,positive
dialogue_children_83_turn_children_0_dm_text,"
right
"
dialogue_children_84_turn_n,85
dialogue_children_84_turn_speaker,A
dialogue_children_84_turn_text,"
"
dialogue_children_84_turn_children_0_decl_n,140
dialogue_children_84_turn_children_0_decl_sp-act,inform
dialogue_children_84_turn_children_0_decl_polarity,positive
dialogue_children_84_turn_children_0_decl_topic,fare-booking-creditcard
dialogue_children_84_turn_children_0_decl_mode,deixis
dialogue_children_84_turn_children_0_decl_text,"
and 40 pounds exactly's been debited from your debit card
"
dialogue_children_84_turn_children_1_decl_n,141
dialogue_children_84_turn_children_1_decl_sp-act,inform
dialogue_children_84_turn_children_1_decl_polarity,positive
dialogue_children_84_turn_children_1_decl_topic,time-number-journey
dialogue_children_84_turn_children_1_decl_mode,
dialogue_children_84_turn_children_1_decl_text,"
and the two tickets will be posted out first class to you this afternoon
"
dialogue_children_84_turn_children_2_dm_n,142
dialogue_children_84_turn_children_2_dm_sp-act,init
dialogue_children_84_turn_children_2_dm_polarity,positive
dialogue_children_84_turn_children_2_dm_text,"
ok now
"
dialogue_children_85_turn_n,86
dialogue_children_85_turn_speaker,B
dialogue_children_85_turn_text,"
"
dialogue_children_85_turn_children_0_decl_n,143
dialogue_children_85_turn_children_0_decl_sp-act,appreciate
dialogue_children_85_turn_children_0_decl_polarity,positive
dialogue_children_85_turn_children_0_decl_topic,
dialogue_children_85_turn_children_0_decl_mode,appreciate
dialogue_children_85_turn_children_0_decl_text,"
that's brilliant
"
dialogue_children_86_turn_n,87
dialogue_children_86_turn_speaker,A
dialogue_children_86_turn_text,"
"
dialogue_children_86_turn_children_0_frag_n,144
dialogue_children_86_turn_children_0_frag_sp-act,thank
dialogue_children_86_turn_children_0_frag_mode,
dialogue_children_86_turn_children_0_frag_text,"
thank you for calling
"
dialogue_children_87_turn_n,88
dialogue_children_87_turn_speaker,B
dialogue_children_87_turn_text,"
"
dialogue_children_87_turn_children_0_frag_n,145
dialogue_children_87_turn_children_0_frag_sp-act,thank-bye
dialogue_children_87_turn_children_0_frag_mode,farewell
dialogue_children_87_turn_children_0_frag_text,"
thanks very much "
dialogue_children_87_turn_children_0_frag_children_0_overlap_type,start
dialogue_children_88_turn_n,89
dialogue_children_88_turn_speaker,A
dialogue_children_88_turn_text,"
"
dialogue_children_88_turn_children_0_frag_n,146
dialogue_children_88_turn_children_0_frag_sp-act,bye
dialogue_children_88_turn_children_0_frag_polarity,positive
dialogue_children_88_turn_children_0_frag_topic,closing
dialogue_children_88_turn_children_0_frag_mode,partial-farewell
dialogue_children_88_turn_children_0_frag_text,"
bye "
dialogue_children_88_turn_children_0_frag_children_0_overlap_type,end
