Call_ID,Speaker,Dialogue,Sentences,NounChunks,Co-Reference,Tags,PERSON,ORG,Greet,IntroduceSelf,IntroduceCompany,Offer,Mastered
11,1, Yeah hold morning let us see I'm calling on behalf of all of my mother just got activated for a foot up with us and the receipt look perfect on a debit card she is right here if you want to speak to her we realize that very hard of hearing it is very hard for her to go so but I do realize what a verify her driving please help give the phone to her you can also any questions you want to confirm that I think if you do not understand he lost me and then I can I can I can actually help order.," Yeah hold,morning let us see I'm calling on behalf of all of my mother,just got activated for a foot up with us and the receipt look perfect on a debit card she is right here if you want to speak to her,we realize that very hard of hearing it is very hard for her to go so,but I do realize what a verify her driving please help give the phone to her you can also any questions you want to confirm that I think if you do not understand he lost me,and then I can,I can,I can actually help order."," Yeah hold,us,I,behalf,my mother,a foot,us,the receipt,a debit card,she,you,her,we,it,her,I,what a verify,her driving,the phone,her,you,you,I,you,he,me,I,I,I,order","us: [us, us, we],she: [she, her, her, her, her],I think: [I think, he]","[(' ', ' ', 'SPACE', '', ''), ('Yeah', 'yeah', 'INTJ', '', 'intj'), ('hold', 'hold', 'NOUN', '', 'ROOT'), ('morning', 'morning', 'NOUN', '', 'npadvmod'), ('let', 'let', 'VERB', '', 'ROOT'), ('us', '-PRON-', 'PRON', '', 'nsubj'), ('see', 'see', 'VERB', '', 'ccomp'), ('I', '-PRON-', 'PRON', '', 'nsubj'), (""'m"", 'be', 'VERB', '', 'aux'), ('calling', 'call', 'VERB', '', 'ccomp'), ('on', 'on', 'ADP', '', 'prep'), ('behalf', 'behalf', 'NOUN', '', 'pobj'), ('of', 'of', 'ADP', '', 'prep'), ('all', 'all', 'DET', '', 'pobj'), ('of', 'of', 'ADP', '', 'prep'), ('my', '-PRON-', 'DET', '', 'poss'), ('mother', 'mother', 'NOUN', '', 'pobj'), ('just', 'just', 'ADV', '', 'advmod'), ('got', 'get', 'VERB', '', 'auxpass'), ('activated', 'activate', 'VERB', '', 'ROOT'), ('for', 'for', 'ADP', '', 'prep'), ('a', 'a', 'DET', '', 'det'), ('foot', 'foot', 'NOUN', '', 'pobj'), ('up', 'up', 'PART', '', 'prt'), ('with', 'with', 'ADP', '', 'prep'), ('us', '-PRON-', 'PRON', '', 'pobj'), ('and', 'and', 'CCONJ', '', 'cc'), ('the', 'the', 'DET', '', 'det'), ('receipt', 'receipt', 'NOUN', '', 'nsubj'), ('look', 'look', 'VERB', '', 'conj'), ('perfect', 'perfect', 'ADJ', '', 'acomp'), ('on', 'on', 'ADP', '', 'prep'), ('a', 'a', 'DET', '', 'det'), ('debit', 'debit', 'NOUN', '', 'compound'), ('card', 'card', 'NOUN', '', 'pobj'), ('she', '-PRON-', 'PRON', '', 'nsubj'), ('is', 'be', 'VERB', '', 'relcl'), ('right', 'right', 'ADV', '', 'advmod'), ('here', 'here', 'ADV', '', 'advmod'), ('if', 'if', 'ADP', '', 'mark'), ('you', '-PRON-', 'PRON', '', 'nsubj'), ('want', 'want', 'VERB', '', 'advcl'), ('to', 'to', 'PART', '', 'aux'), ('speak', 'speak', 'VERB', '', 'xcomp'), ('to', 'to', 'ADP', '', 'prep'), ('her', '-PRON-', 'PRON', '', 'pobj'), ('we', '-PRON-', 'PRON', '', 'nsubj'), ('realize', 'realize', 'VERB', '', 'ROOT'), ('that', 'that', 'ADP', '', 'mark'), ('very', 'very', 'ADV', '', 'advmod'), ('hard', 'hard', 'ADV', '', 'advmod'), ('of', 'of', 'ADP', '', 'prep'), ('hearing', 'hear', 'VERB', '', 'pcomp'), ('it', '-PRON-', 'PRON', '', 'nsubj'), ('is', 'be', 'VERB', '', 'ccomp'), ('very', 'very', 'ADV', '', 'advmod'), ('hard', 'hard', 'ADJ', '', 'acomp'), ('for', 'for', 'ADP', '', 'mark'), ('her', '-PRON-', 'PRON', '', 'nsubj'), ('to', 'to', 'PART', '', 'aux'), ('go', 'go', 'VERB', '', 'advcl'), ('so', 'so', 'ADV', '', 'advmod'), ('but', 'but', 'CCONJ', '', 'cc'), ('I', '-PRON-', 'PRON', '', 'nsubj'), ('do', 'do', 'VERB', '', 'aux'), ('realize', 'realize', 'VERB', '', 'ROOT'), ('what', 'what', 'PRON', '', 'det'), ('a', 'a', 'DET', '', 'det'), ('verify', 'verify', 'NOUN', '', 'attr'), ('her', '-PRON-', 'DET', '', 'poss'), ('driving', 'driving', 'NOUN', '', 'nsubj'), ('please', 'please', 'INTJ', '', 'intj'), ('help', 'help', 'VERB', '', 'ccomp'), ('give', 'give', 'VERB', '', 'xcomp'), ('the', 'the', 'DET', '', 'det'), ('phone', 'phone', 'NOUN', '', 'dobj'), ('to', 'to', 'ADP', '', 'dative'), ('her', '-PRON-', 'PRON', '', 'pobj'), ('you', '-PRON-', 'PRON', '', 'nsubj'), ('can', 'can', 'VERB', '', 'aux'), ('also', 'also', 'ADV', '', 'advmod'), ('any', 'any', 'DET', '', 'det'), ('questions', 'question', 'NOUN', '', 'dobj'), ('you', '-PRON-', 'PRON', '', 'nsubj'), ('want', 'want', 'VERB', '', 'relcl'), ('to', 'to', 'PART', '', 'aux'), ('confirm', 'confirm', 'VERB', '', 'xcomp'), ('that', 'that', 'ADP', '', 'mark'), ('I', '-PRON-', 'PRON', '', 'nsubj'), ('think', 'think', 'VERB', '', 'ccomp'), ('if', 'if', 'ADP', '', 'mark'), ('you', '-PRON-', 'PRON', '', 'nsubj'), ('do', 'do', 'VERB', '', 'aux'), ('not', 'not', 'ADV', '', 'neg'), ('understand', 'understand', 'VERB', '', 'advcl'), ('he', '-PRON-', 'PRON', '', 'nsubj'), ('lost', 'lose', 'VERB', '', 'ccomp'), ('me', '-PRON-', 'PRON', '', 'dobj'), ('and', 'and', 'CCONJ', '', 'cc'), ('then', 'then', 'ADV', '', 'advmod'), ('I', '-PRON-', 'PRON', '', 'nsubj'), ('can', 'can', 'VERB', '', 'ROOT'), ('I', '-PRON-', 'PRON', '', 'nsubj'), ('can', 'can', 'VERB', '', 'ROOT'), ('I', '-PRON-', 'PRON', '', 'nsubj'), ('can', 'can', 'VERB', '', 'aux'), ('actually', 'actually', 'ADV', '', 'advmod'), ('help', 'help', 'VERB', '', 'ROOT'), ('order', 'order', 'NOUN', '', 'dobj'), ('.', '.', 'PUNCT', '', 'punct')]",,,,It is,calling,"Can I,Can I",Mastered
11,0, All right., All right.,,,"[(' ', ' ', 'SPACE', '', ''), ('All', 'all', 'ADV', '', 'advmod'), ('right', 'right', 'ADV', '', 'ROOT'), ('.', '.', 'PUNCT', '', 'punct')]",,,,,,,Mastered
12,0, Thank you for calling direct express my name is Diana how mass issue.," Thank you for calling direct express my name is Diana,how mass issue.","you,my name,Diana,how mass issue",,"[(' ', ' ', 'SPACE', '', ''), ('Thank', 'thank', 'VERB', '', 'advcl'), ('you', '-PRON-', 'PRON', '', 'dobj'), ('for', 'for', 'ADP', '', 'prep'), ('calling', 'call', 'VERB', '', 'pcomp'), ('direct', 'direct', 'ADJ', '', 'amod'), ('express', 'express', 'VERB', '', 'dobj'), ('my', '-PRON-', 'DET', '', 'poss'), ('name', 'name', 'NOUN', '', 'nsubj'), ('is', 'be', 'VERB', '', 'ROOT'), ('Diana', 'Diana', 'PROPN', 'PERSON', 'attr'), ('how', 'how', 'ADV', '', 'advmod'), ('mass', 'mass', 'ADJ', '', 'amod'), ('issue', 'issue', 'NOUN', '', 'ROOT'), ('.', '.', 'PUNCT', '', 'punct')]",Diana,,,My name is,Thank you for calling,,Mastered
12,1, We were just setting up the card for that social security payments I do not think they put a payment on until August and they just wishes so if you so just wait for the phone rang.," We were just setting up the card for that social security payments,I do not think they put a payment on until August and they just wishes so if you so just wait for the phone rang."," We,the card,that social security payments,I,they,a payment,August,they,you,the phone rang","they: [they, they]","[(' ', ' ', 'SPACE', '', ''), ('We', '-PRON-', 'PRON', '', 'nsubj'), ('were', 'be', 'VERB', '', 'aux'), ('just', 'just', 'ADV', '', 'advmod'), ('setting', 'set', 'VERB', '', 'ROOT'), ('up', 'up', 'PART', '', 'prt'), ('the', 'the', 'DET', '', 'det'), ('card', 'card', 'NOUN', '', 'dobj'), ('for', 'for', 'ADP', '', 'prep'), ('that', 'that', 'DET', '', 'det'), ('social', 'social', 'ADJ', '', 'amod'), ('security', 'security', 'NOUN', '', 'compound'), ('payments', 'payment', 'NOUN', '', 'pobj'), ('I', '-PRON-', 'PRON', '', 'nsubj'), ('do', 'do', 'VERB', '', 'aux'), ('not', 'not', 'ADV', '', 'neg'), ('think', 'think', 'VERB', '', 'ROOT'), ('they', '-PRON-', 'PRON', '', 'nsubj'), ('put', 'put', 'VERB', '', 'ccomp'), ('a', 'a', 'DET', '', 'det'), ('payment', 'payment', 'NOUN', '', 'dobj'), ('on', 'on', 'ADP', '', 'prep'), ('until', 'until', 'ADP', '', 'prep'), ('August', 'August', 'PROPN', 'DATE', 'pobj'), ('and', 'and', 'CCONJ', '', 'cc'), ('they', '-PRON-', 'PRON', '', 'nsubj'), ('just', 'just', 'ADV', '', 'advmod'), ('wishes', 'wish', 'VERB', '', 'conj'), ('so', 'so', 'ADV', '', 'advmod'), ('if', 'if', 'ADP', '', 'mark'), ('you', '-PRON-', 'PRON', '', 'nsubj'), ('so', 'so', 'ADV', '', 'advmod'), ('just', 'just', 'ADV', '', 'advmod'), ('wait', 'wait', 'VERB', '', 'advcl'), ('for', 'for', 'ADP', '', 'prep'), ('the', 'the', 'DET', '', 'det'), ('phone', 'phone', 'NOUN', '', 'compound'), ('rang', 'rang', 'NOUN', '', 'pobj'), ('.', '.', 'PUNCT', '', 'punct')]",,,,,,,Mastered
12,0, And who am I speaking with today., And who am I speaking with today.,"who,I,today",,"[(' ', ' ', 'SPACE', '', ''), ('And', 'and', 'CCONJ', '', 'cc'), ('who', 'who', 'PRON', '', 'pobj'), ('am', 'be', 'VERB', '', 'aux'), ('I', '-PRON-', 'PRON', '', 'nsubj'), ('speaking', 'speak', 'VERB', '', 'ROOT'), ('with', 'with', 'ADP', '', 'prep'), ('today', 'today', 'NOUN', 'DATE', 'pobj'), ('.', '.', 'PUNCT', '', 'punct')]",,,,speaking,,,Mastered
12,1, Shannon over back., Shannon over back., Shannon,,"[(' ', ' ', 'SPACE', '', ''), ('Shannon', 'Shannon', 'PROPN', 'FAC', 'ROOT'), ('over', 'over', 'ADP', '', 'advmod'), ('back', 'back', 'ADV', '', 'advmod'), ('.', '.', 'PUNCT', '', 'punct')]",,,,,,,Mastered
13,0, Thank you for calling direct express card services this is sherry how #  I help you., Thank you for calling direct express card services this is sherry how #  I help you.,"you,direct express card services,I,you",,"[(' ', ' ', 'SPACE', '', ''), ('Thank', 'thank', 'VERB', '', 'advcl'), ('you', '-PRON-', 'PRON', '', 'dobj'), ('for', 'for', 'ADP', '', 'prep'), ('calling', 'call', 'VERB', '', 'pcomp'), ('direct', 'direct', 'ADJ', '', 'amod'), ('express', 'express', 'ADJ', '', 'amod'), ('card', 'card', 'NOUN', '', 'compound'), ('services', 'service', 'NOUN', '', 'dobj'), ('this', 'this', 'DET', '', 'nsubj'), ('is', 'be', 'VERB', '', 'ROOT'), ('sherry', 'sherry', 'VERB', '', 'acomp'), ('how', 'how', 'ADV', '', 'advmod'), ('#', '#', 'SYM', '', 'npadvmod'), (' ', ' ', 'SPACE', '', ''), ('I', '-PRON-', 'PRON', '', 'nsubj'), ('help', 'help', 'VERB', '', 'ccomp'), ('you', '-PRON-', 'PRON', '', 'dobj'), ('.', '.', 'PUNCT', '', 'punct')]",,,,This is,"Thank you for calling,This is",,Mastered
13,2, Yes hello I have requested a direct express card from social security because I I have I give benefits from them and I just call about #  minutes ago to you all to see if my check was deposited they said no.," Yes hello I have requested a direct express card from social security because I,I have I give benefits from them,and I just call about #  minutes ago to you all to see if my check was deposited,they said no.","I,a direct express card,social security,I,I,I,benefits,them,I,you,my check,they","benefits: [benefits, them]","[(' ', ' ', 'SPACE', '', ''), ('Yes', 'yes', 'INTJ', '', 'intj'), ('hello', 'hello', 'INTJ', '', 'intj'), ('I', '-PRON-', 'PRON', '', 'nsubj'), ('have', 'have', 'VERB', '', 'aux'), ('requested', 'request', 'VERB', '', 'ROOT'), ('a', 'a', 'DET', '', 'det'), ('direct', 'direct', 'ADJ', '', 'amod'), ('express', 'express', 'ADJ', '', 'amod'), ('card', 'card', 'NOUN', '', 'dobj'), ('from', 'from', 'ADP', '', 'prep'), ('social', 'social', 'ADJ', '', 'amod'), ('security', 'security', 'NOUN', '', 'pobj'), ('because', 'because', 'ADP', '', 'prep'), ('I', '-PRON-', 'PRON', '', 'pobj'), ('I', '-PRON-', 'PRON', '', 'nsubj'), ('have', 'have', 'VERB', '', 'ROOT'), ('I', '-PRON-', 'PRON', '', 'nsubj'), ('give', 'give', 'VERB', '', 'ccomp'), ('benefits', 'benefit', 'NOUN', '', 'dobj'), ('from', 'from', 'ADP', '', 'prep'), ('them', '-PRON-', 'PRON', '', 'pobj'), ('and', 'and', 'CCONJ', '', 'cc'), ('I', '-PRON-', 'PRON', '', 'nsubj'), ('just', 'just', 'ADV', '', 'advmod'), ('call', 'call', 'VERB', '', 'ROOT'), ('about', 'about', 'ADV', 'MONEY', 'advmod'), ('#', '#', 'SYM', 'MONEY', 'nummod'), (' ', ' ', 'SPACE', 'MONEY', ''), ('minutes', 'minute', 'NOUN', 'MONEY', 'npadvmod'), ('ago', 'ago', 'ADV', 'MONEY', 'advmod'), ('to', 'to', 'ADP', '', 'prep'), ('you', '-PRON-', 'PRON', '', 'pobj'), ('all', 'all', 'DET', '', 'appos'), ('to', 'to', 'PART', '', 'aux'), ('see', 'see', 'VERB', '', 'advcl'), ('if', 'if', 'ADP', '', 'mark'), ('my', '-PRON-', 'DET', '', 'poss'), ('check', 'check', 'NOUN', '', 'nsubjpass'), ('was', 'be', 'VERB', '', 'auxpass'), ('deposited', 'deposit', 'VERB', '', 'ccomp'), ('they', '-PRON-', 'PRON', '', 'nsubj'), ('said', 'say', 'VERB', '', 'ROOT'), ('no', 'no', 'INTJ', '', 'intj'), ('.', '.', 'PUNCT', '', 'punct')]",,,Hello,,"from,from",,Mastered
13,0, And., And.,,,"[(' ', ' ', 'SPACE', '', ''), ('And', 'and', 'CCONJ', '', 'ROOT'), ('.', '.', 'PUNCT', '', 'punct')]",,,,,,,Mastered
13,2, I also security and they say I'm gonna receive a paper check today now they are telling me that you guys have to update the information to them and request the routing or give them the routing in the account number well can I talk to.," I also security and they say I'm gonna receive a paper check today,now they are telling me that you guys have to update the information to them and request the routing or give them the routing in the account number well,can I talk to."," I,they,I,a paper check,they,me,you guys,the information,them,the routing,them,the routing,the account number,I","they: [they, they, them, them]","[(' ', ' ', 'SPACE', '', ''), ('I', '-PRON-', 'PRON', '', 'nsubj'), ('also', 'also', 'ADV', '', 'advmod'), ('security', 'security', 'NOUN', '', 'ROOT'), ('and', 'and', 'CCONJ', '', 'cc'), ('they', '-PRON-', 'PRON', '', 'nsubj'), ('say', 'say', 'VERB', '', 'conj'), ('I', '-PRON-', 'PRON', '', 'nsubj'), (""'m"", 'be', 'VERB', '', 'aux'), ('gon', 'go', 'VERB', '', 'ccomp'), ('na', 'to', 'PART', '', 'aux'), ('receive', 'receive', 'VERB', '', 'xcomp'), ('a', 'a', 'DET', '', 'det'), ('paper', 'paper', 'NOUN', '', 'compound'), ('check', 'check', 'NOUN', '', 'dobj'), ('today', 'today', 'NOUN', 'DATE', 'npadvmod'), ('now', 'now', 'ADV', '', 'advmod'), ('they', '-PRON-', 'PRON', '', 'nsubj'), ('are', 'be', 'VERB', '', 'aux'), ('telling', 'tell', 'VERB', '', 'ROOT'), ('me', '-PRON-', 'PRON', '', 'dobj'), ('that', 'that', 'ADP', '', 'mark'), ('you', '-PRON-', 'PRON', '', 'nmod'), ('guys', 'guy', 'NOUN', '', 'nsubj'), ('have', 'have', 'VERB', '', 'ccomp'), ('to', 'to', 'PART', '', 'aux'), ('update', 'update', 'VERB', '', 'xcomp'), ('the', 'the', 'DET', '', 'det'), ('information', 'information', 'NOUN', '', 'dobj'), ('to', 'to', 'ADP', '', 'prep'), ('them', '-PRON-', 'PRON', '', 'pobj'), ('and', 'and', 'CCONJ', '', 'cc'), ('request', 'request', 'VERB', '', 'conj'), ('the', 'the', 'DET', '', 'det'), ('routing', 'routing', 'NOUN', '', 'dobj'), ('or', 'or', 'CCONJ', '', 'cc'), ('give', 'give', 'VERB', '', 'conj'), ('them', '-PRON-', 'PRON', '', 'dative'), ('the', 'the', 'DET', '', 'det'), ('routing', 'routing', 'NOUN', '', 'dobj'), ('in', 'in', 'ADP', '', 'prep'), ('the', 'the', 'DET', '', 'det'), ('account', 'account', 'NOUN', '', 'compound'), ('number', 'number', 'NOUN', '', 'pobj'), ('well', 'well', 'ADV', '', 'advmod'), ('can', 'can', 'VERB', '', 'aux'), ('I', '-PRON-', 'PRON', '', 'nsubj'), ('talk', 'talk', 'VERB', '', 'ROOT'), ('to', 'to', 'ADP', '', 'prep'), ('.', '.', 'PUNCT', '', 'punct')]",,,,,,Can I,Mastered
14,0, For calling direct express card services this is lily how #  I help you., For calling direct express card services this is lily how #  I help you.,"direct express card services,I,you",,"[(' ', ' ', 'SPACE', '', ''), ('For', 'for', 'ADP', '', 'prep'), ('calling', 'call', 'VERB', '', 'pcomp'), ('direct', 'direct', 'ADJ', '', 'amod'), ('express', 'express', 'ADJ', '', 'amod'), ('card', 'card', 'NOUN', '', 'compound'), ('services', 'service', 'NOUN', '', 'dobj'), ('this', 'this', 'DET', '', 'nsubj'), ('is', 'be', 'VERB', '', 'ROOT'), ('lily', 'lily', 'ADV', '', 'advmod'), ('how', 'how', 'ADV', '', 'advmod'), ('#', '#', 'SYM', '', 'npadvmod'), (' ', ' ', 'SPACE', '', ''), ('I', '-PRON-', 'PRON', '', 'nsubj'), ('help', 'help', 'VERB', '', 'ccomp'), ('you', '-PRON-', 'PRON', '', 'dobj'), ('.', '.', 'PUNCT', '', 'punct')]",,,,This is,"calling,This is",,Mastered
14,2, Yes my name is Peter they., Yes my name is Peter they.,"my name,Peter they",,"[(' ', ' ', 'SPACE', '', ''), ('Yes', 'yes', 'INTJ', '', 'intj'), ('my', '-PRON-', 'DET', '', 'poss'), ('name', 'name', 'NOUN', '', 'nsubj'), ('is', 'be', 'VERB', '', 'ROOT'), ('Peter', 'Peter', 'PROPN', 'PERSON', 'compound'), ('they', '-PRON-', 'PRON', '', 'attr'), ('.', '.', 'PUNCT', '', 'punct')]",Peter,,,My name is,,,Mastered
14,0, I'm sorry I did not get your name., I'm sorry I did not get your name.," I,I,your name",,"[(' ', ' ', 'SPACE', '', ''), ('I', '-PRON-', 'PRON', '', 'nsubj'), (""'m"", 'be', 'VERB', '', 'ROOT'), ('sorry', 'sorry', 'ADJ', '', 'acomp'), ('I', '-PRON-', 'PRON', '', 'nsubj'), ('did', 'do', 'VERB', '', 'aux'), ('not', 'not', 'ADV', '', 'neg'), ('get', 'get', 'VERB', '', 'ccomp'), ('your', '-PRON-', 'DET', '', 'poss'), ('name', 'name', 'NOUN', '', 'dobj'), ('.', '.', 'PUNCT', '', 'punct')]",,,,name,,,Mastered
14,2, My name is Peter lane it I am spent in deposit is currently.," My name is,Peter lane it,I am spent in deposit is currently."," My name,Peter,it,I,deposit",,"[(' ', ' ', 'SPACE', '', ''), ('My', '-PRON-', 'DET', '', 'poss'), ('name', 'name', 'NOUN', '', 'nsubj'), ('is', 'be', 'VERB', '', 'ROOT'), ('Peter', 'Peter', 'PROPN', 'PERSON', 'nsubj'), ('lane', 'lane', 'VERB', '', 'ROOT'), ('it', '-PRON-', 'PRON', '', 'dobj'), ('I', '-PRON-', 'PRON', '', 'nsubjpass'), ('am', 'be', 'VERB', '', 'auxpass'), ('spent', 'spend', 'VERB', '', 'ROOT'), ('in', 'in', 'ADP', '', 'prep'), ('deposit', 'deposit', 'NOUN', '', 'pobj'), ('is', 'be', 'VERB', '', 'conj'), ('currently', 'currently', 'ADV', '', 'advmod'), ('.', '.', 'PUNCT', '', 'punct')]",Peter,,,"My name is,I am",,,Mastered
15,0, Thank you for calling direct express card services this is Laurie how #  I help you., Thank you for calling direct express card services this is Laurie how #  I help you.,"you,direct express card services,Laurie,I,you",,"[(' ', ' ', 'SPACE', '', ''), ('Thank', 'thank', 'VERB', '', 'advcl'), ('you', '-PRON-', 'PRON', '', 'dobj'), ('for', 'for', 'ADP', '', 'prep'), ('calling', 'call', 'VERB', '', 'pcomp'), ('direct', 'direct', 'ADJ', '', 'amod'), ('express', 'express', 'ADJ', '', 'amod'), ('card', 'card', 'NOUN', '', 'compound'), ('services', 'service', 'NOUN', '', 'dobj'), ('this', 'this', 'DET', '', 'nsubj'), ('is', 'be', 'VERB', '', 'ROOT'), ('Laurie', 'Laurie', 'PROPN', 'PERSON', 'attr'), ('how', 'how', 'ADV', '', 'advmod'), ('#', '#', 'SYM', '', 'npadvmod'), (' ', ' ', 'SPACE', '', ''), ('I', '-PRON-', 'PRON', '', 'nsubj'), ('help', 'help', 'VERB', '', 'ccomp'), ('you', '-PRON-', 'PRON', '', 'dobj'), ('.', '.', 'PUNCT', '', 'punct')]",Laurie,,,This is,"Thank you for calling,This is",,Mastered
15,1, Oh my god email alert my phone., Oh my god email alert my phone.,"my god email,my phone",,"[(' ', ' ', 'SPACE', '', ''), ('Oh', 'oh', 'INTJ', '', 'intj'), ('my', 'my', 'INTJ', '', 'poss'), ('god', 'god', 'INTJ', '', 'compound'), ('email', 'email', 'NOUN', '', 'nsubj'), ('alert', 'alert', 'VERB', '', 'ROOT'), ('my', '-PRON-', 'DET', '', 'poss'), ('phone', 'phone', 'NOUN', '', 'dobj'), ('.', '.', 'PUNCT', '', 'punct')]",,,,,,,Mastered
15,0, Okay what is your first name., Okay what is your first name.,"what,your first name",,"[(' ', ' ', 'SPACE', '', ''), ('Okay', 'okay', 'INTJ', '', 'intj'), ('what', 'what', 'PRON', '', 'attr'), ('is', 'be', 'VERB', '', 'ROOT'), ('your', '-PRON-', 'DET', '', 'poss'), ('first', 'first', 'ADJ', 'ORDINAL', 'amod'), ('name', 'name', 'NOUN', '', 'nsubj'), ('.', '.', 'PUNCT', '', 'punct')]",,,,name,,,Mastered
15,1, Zero first name is Emmett., Zero first name is Emmett.," Zero first name,Emmett",,"[(' ', ' ', 'SPACE', '', ''), ('Zero', 'Zero', 'PROPN', 'CARDINAL', 'nmod'), ('first', 'first', 'ADJ', '', 'amod'), ('name', 'name', 'NOUN', '', 'nsubj'), ('is', 'be', 'VERB', '', 'ROOT'), ('Emmett', 'Emmett', 'PROPN', 'PERSON', 'attr'), ('.', '.', 'PUNCT', '', 'punct')]",Emmett,,,name,,,Mastered
16,1, Thank you for calling card services my name is Andrea how #  be of assistance today., Thank you for calling card services my name is Andrea how #  be of assistance today.,"you,card services,my name,Andrea,assistance",,"[(' ', ' ', 'SPACE', '', ''), ('Thank', 'thank', 'VERB', '', 'ROOT'), ('you', '-PRON-', 'PRON', '', 'dobj'), ('for', 'for', 'ADP', '', 'prep'), ('calling', 'call', 'VERB', '', 'pcomp'), ('card', 'card', 'NOUN', '', 'compound'), ('services', 'service', 'NOUN', '', 'dobj'), ('my', '-PRON-', 'DET', '', 'poss'), ('name', 'name', 'NOUN', '', 'dobj'), ('is', 'be', 'VERB', '', 'conj'), ('Andrea', 'Andrea', 'PROPN', 'PERSON', 'attr'), ('how', 'how', 'ADV', '', 'advmod'), ('#', '#', 'SYM', 'MONEY', 'nsubj'), (' ', ' ', 'SPACE', 'MONEY', ''), ('be', 'be', 'VERB', '', 'ccomp'), ('of', 'of', 'ADP', '', 'prep'), ('assistance', 'assistance', 'NOUN', '', 'pobj'), ('today', 'today', 'NOUN', 'DATE', 'npadvmod'), ('.', '.', 'PUNCT', '', 'punct')]",Andrea,,,My name is,Thank you for calling,,Mastered
16,2, Yes I was transferred to you all of them so I'm guessing so more.," Yes I was transferred to you all of them,so I'm guessing so more.","I,you,them,I",,"[(' ', ' ', 'SPACE', '', ''), ('Yes', 'yes', 'INTJ', '', 'intj'), ('I', '-PRON-', 'PRON', '', 'nsubjpass'), ('was', 'be', 'VERB', '', 'auxpass'), ('transferred', 'transfer', 'VERB', '', 'ROOT'), ('to', 'to', 'ADP', '', 'prep'), ('you', '-PRON-', 'PRON', '', 'pobj'), ('all', 'all', 'DET', '', 'appos'), ('of', 'of', 'ADP', '', 'prep'), ('them', '-PRON-', 'PRON', '', 'pobj'), ('so', 'so', 'ADV', '', 'advmod'), ('I', '-PRON-', 'PRON', '', 'nsubj'), (""'m"", 'be', 'VERB', '', 'aux'), ('guessing', 'guess', 'VERB', '', 'ROOT'), ('so', 'so', 'ADV', '', 'advmod'), ('more', 'more', 'ADJ', '', 'advmod'), ('.', '.', 'PUNCT', '', 'punct')]",,,,,,,Mastered
16,2, But my new court on., But my new court on., But my new court,,"[(' ', ' ', 'SPACE', '', ''), ('But', 'but', 'CCONJ', '', 'cc'), ('my', '-PRON-', 'DET', '', 'poss'), ('new', 'new', 'ADJ', '', 'amod'), ('court', 'court', 'NOUN', '', 'ROOT'), ('on', 'on', 'ADP', '', 'prep'), ('.', '.', 'PUNCT', '', 'punct')]",,,,,,,Mastered
16,1, Okay do you have that card number available to you., Okay do you have that card number available to you.,"you,that card number,you",,"[(' ', ' ', 'SPACE', '', ''), ('Okay', 'okay', 'INTJ', '', 'intj'), ('do', 'do', 'VERB', '', 'aux'), ('you', '-PRON-', 'PRON', '', 'nsubj'), ('have', 'have', 'VERB', '', 'ROOT'), ('that', 'that', 'DET', '', 'det'), ('card', 'card', 'NOUN', '', 'compound'), ('number', 'number', 'NOUN', '', 'dobj'), ('available', 'available', 'ADJ', '', 'amod'), ('to', 'to', 'ADP', '', 'prep'), ('you', '-PRON-', 'PRON', '', 'pobj'), ('.', '.', 'PUNCT', '', 'punct')]",,,,,,,Mastered
17,0, You for calling bye record press this my name is Stephanie how #  I help you.," You for calling bye record press this,my name is Stephanie how #  I help you."," You,record press,my name,Stephanie,I,you",,"[(' ', ' ', 'SPACE', '', ''), ('You', '-PRON-', 'PRON', '', 'ROOT'), ('for', 'for', 'ADP', '', 'prep'), ('calling', 'call', 'VERB', '', 'pcomp'), ('bye', 'bye', 'NOUN', '', 'prt'), ('record', 'record', 'NOUN', '', 'compound'), ('press', 'press', 'NOUN', '', 'dobj'), ('this', 'this', 'DET', '', 'intj'), ('my', '-PRON-', 'DET', '', 'poss'), ('name', 'name', 'NOUN', '', 'nsubj'), ('is', 'be', 'VERB', '', 'ROOT'), ('Stephanie', 'Stephanie', 'PROPN', 'PERSON', 'attr'), ('how', 'how', 'ADV', '', 'advmod'), ('#', '#', 'SYM', 'MONEY', 'npadvmod'), (' ', ' ', 'SPACE', 'MONEY', ''), ('I', '-PRON-', 'PRON', '', 'nsubj'), ('help', 'help', 'VERB', '', 'ccomp'), ('you', '-PRON-', 'PRON', '', 'dobj'), ('.', '.', 'PUNCT', '', 'punct')]",Stephanie,,,My name is,calling,,Mastered
17,1, Your call already called today yet., Your call already called today yet., Your call,,"[(' ', ' ', 'SPACE', '', ''), ('Your', '-PRON-', 'DET', '', 'poss'), ('call', 'call', 'NOUN', '', 'nsubj'), ('already', 'already', 'ADV', '', 'advmod'), ('called', 'call', 'VERB', '', 'ROOT'), ('today', 'today', 'NOUN', 'DATE', 'npadvmod'), ('yet', 'yet', 'ADV', '', 'advmod'), ('.', '.', 'PUNCT', '', 'punct')]",,,,,called,,Mastered
