ConversationIDDataImpl,SpeakerDataImpl,StartTimeDataImpl,EndTimeDataImpl,PlainTextDataImpl
61156110484134337,1,104,113, And can you verify the last name on the account.
61156110484134337,2,121,130, Jennifer the V. Johnson okay and Jennifer what.
61156110484134337,1,133,142, Is the last.
61156110484134337,2,143,146, Five nine zero four.
61156110484134337,1,154,160, Okay eight and your date of birth.
61156110484134337,2,168,170, Thank you for.
61156110484134337,1,171,172, All righty well thank you for that information and before I look into your account I first want to take a minute to share some important information with you it's only take a couple moments we would like to send a warm welcome for you being a part of the direct express program.
61156110484134337,1,173,181, We have updated our system to provide you better service as always you can use your card anywhere MasterCard is accepted this includes purchases setting up automatic bill payments for utilities and smartphone.
61156110484134337,2,182,184, Well as.
61156110484134337,1,191,192, ATM withdrawals we also have some new tires that we would like to tell you about we have the direct express CAD.
61156110484134337,2,196,202,
61156110484134337,1,204,208, This feature which allows you to go to any Walmart location near you and I.
61156110484134337,1,213,220, Access your cash.
61156110484134337,2,230,238, Out meeting a purchase.
61156110484134337,1,248,254, So you just got to the register swipe your card.
61156110484134337,1,260,265, That way and then that will be a dollar fifty people.
61156110484134337,1,266,276, But you wouldn't have to make a purchase we also have the cardholder website which you can enjoy checking your balance.
61156110484134337,1,285,290, Since pretty young and.
61156110484134337,2,297,306, Make.
61156110484134337,1,316,326, Changes.
61156110484134337,1,334,336, For me.
61156110484134337,2,341,345, Okay so you're you're saying that.
61156110484134337,2,348,357, Okay last four.
61156110484134337,2,359,363, Any wal Mart or whatever withdrawal all the bar yeah so the.
61156110484134337,1,366,368, The money there any Walmart location and go up to any register and your card and take out money that way without having to make a purchase.
61156110484134337,2,375,378, Oh okay but the money has to be on the call.
61156110484134337,1,379,388, Yep it has to be on the card.
61156110484134337,2,398,408, Okay that's what I was okay I was trying to make sure that I heard.
61156110484134337,1,411,415, No problem you can also set up notifications on the website as well and notifications like deposit when they're supposed to post low balance information and transaction activity and also you can change your pen on there as well you can go online to W. W. W. dot U. S. direct express dot com to access the website please be sure to please click on the cards beginning with five one also you can perform various activities using our automated system such as card activation pin change bounce enquiring into your transactions also our friendly agents are available to you twenty four seven three sixty five and we do have a new mobile app coming very soon that way you have access to your information at all times again we are happy to welcome you to the direct express program I believe you'll find our new features and benefits convenient and easy to use do you have any other questions for me today.
61156110484134337,2,419,423, Although I don't know but my bosses hold on okay so yeah I would happen to know when the first deposit going to be in or do you.
61156110484134337,1,427,436, Social security should have gave you information.
61156110484134337,2,437,439, Yeah they did they did out of it it is supposed to be under our support team yep.
61156110484134337,1,444,445, E. on there on that day it should take around midnight most of the time so just keep an eye out for that I can also.
61156110484134337,1,451,458, Set UP alerts for you that way to your mobile phone number that we have.
61156110484134337,2,464,469, On here is you received three ninety seven for the last one in nineteen tomorrow six fourteen twenty nineteen and then it's saying that I will route.
61156110484134337,2,475,482, After that you will receive three ninety seven on or about so all round the second Wednesday of each month.
61156110484134337,2,485,487, Wednesday right right okay and it is let me just say like every other ways so like just like the second Wednesday of each month right.
61156110484134337,1,491,496, Right yeah it should be honored that the day that they told you was going to be like I.
61156110484134337,2,501,505, Don't know seven David you said around about the second Wednesday of each month so.
61156110484134337,2,515,523, In other ways.
61156110484134337,2,530,536, Right.
61156110484134337,2,540,543, Yeah reach among other.
61156110484134337,2,552,555, Okay but that's about right okay well other than that everything is good ma'am are her my car so the mobile number and I need to go now.
61156110484134337,1,564,571, Okay sounds perfect if you have any other questions or any other information on that you would like to let us now go ahead and give us a call like I said we're open three sixty five so you have that email to you.
61156110484134337,2,580,583, All right ma'am thank you so much.
61156110484134337,1,590,597, For calling direct express you have a great day.
61156110484134337,2,602,612, You too.
61156110484134337,1,613,617, Bye bye.
61156110484134337,2,619,623, Bye bye.
61156110484134337,2,627,631,
61156110484134337,2,635,638,
65156145699531058,0,1,6, You for calling bye record press this my name is Stephanie how may I help you.
65156145699531058,1,12,13, Your call already called today yet.
65156145699531058,0,14,21, I would not know that sorry can I have your first and last name please.
65156145699531058,1,29,37, Wayne leniency.
65156145699531058,0,44,52, Mr Leslie could you verify the last four of your social.
65156145699531058,1,60,64, Bacall.
65156145699531058,0,74,83, Yes.
65156145699531058,1,84,93, Three.
65156145699531058,0,101,104, And the last four of your social security number.
65156145699531058,1,106,112, D..
65156145699531058,0,118,122, All writing and could you verify me good telephone number for you.
65156145699531058,1,132,138, I don't have a phone call right now number.
65156145699531058,0,145,154, Okay that's no problem Sir so you want to know if whether or not you had a balance on your card.
65156145699531058,1,159,160, Yes ma'am.
65156145699531058,0,168,178, Well looks like you just activated the card so first we would need to go over some additional information with you concerning this cart.
65156145699531058,0,188,190, And make sure that your update in our system to receive the benefits.
65156145699531058,1,197,207, So we're coming to people but I didn't write.
65156145699531058,0,210,217, I'm sorry.
65156145699531058,1,224,234, So it's come arm it's couple if you Daddy's.
65156145699531058,0,236,246, I don't know what day you would receive your benefits you would have to contact social security for that but I don't.
65156145699531058,0,254,255, What do you want me to see if anything is pending for you Mister I think.
65156145699531058,1,264,267, Yes ma'am.
65156145699531058,0,276,280, One second.
65156145699531058,1,285,290, Okay.
65156145699531058,0,292,302, So I'm not showing that anything is pending for you I do show that social security did a process run to make sure the car was active in one so they know the card is active they know that you have this account open they are able to put the benefits in there so I don't know what day that would be when they're going to do that but they are able to because they dinner I right on the card to make sure that it was that.
65156145699531058,1,307,310, Okay great.
65156145699531058,0,315,317, Shows that are sorry we need to go over some additional information with you first.
65156145699531058,1,320,329, Okay.
65156145699531058,0,334,337, So far as we want to thank you and extend a warm welcome to you for becoming a part of the direct express program.
65156145699531058,0,341,343, We've updated our system to provide better service so as always you can use your mask the car where it is accepted this includes making purchase or set up automatic bill payments or even A. T. M. withdrawal let me check the features that are available to you with the direct express cash access and allows you to go to Walmart locations to access cash from your card without making a purchase please note that this feature is currently a dollar fifty also you can enjoy the new car her website to access the card information check your car balance your printer transactions or make any changes to your personal information you can go to our website at W. W. W. dot U. S. Iraqi express dot com and please be sure to select the car that begins with five one.
65156145699531058,0,346,349, Also for various activities over the automated phone system as you did today with the card activation you can change your pin invalid Jamie curry and listen for the transaction details we offer our friendly agents there available to you twenty four seven three sixty five and coming soon will have a new mobile app to help you stay connected to your card account so again we are happy to welcome you to the direct express program I believe you'll find these features and benefits convenient yet easy to use any questions about that Sir.
65156145699531058,0,355,360, So you said do you have an email address.
65156145699531058,1,363,367, Number or more.
65156145699531058,0,369,379, Okay so when you get a updated telephone number or email address please give us a call back so that we can set you up to receive our alerts which are free to you now we can get you added up with everything okay Sir.
65156145699531058,1,382,384, Okay.
65156145699531058,0,386,396, All righty what do you have any questions for me at this time.
65156145699531058,1,405,411, No ma'am.
65156145699531058,0,413,420, Well thank you for calling direct express card do you have a wonderful day.
65156326676952972,0,1,11, Thank you for calling Derek express this is Diane how may I help you today.
65156326676952972,2,18,21, I wonder dresser chest pains I've left my card inside of what a company and it was something else that quote in front of the hotel I'm ready for a break down hi I've been to too much is lever L. E. B. U. R. G..
65156326676952972,2,24,26, Six one two nights a card number.
65156326676952972,2,35,39, Five five nine oh two six six one four is my place was security code number what what happens is it's going.
65156326676952972,2,49,56, One twenty three fifty five.
65156326676952972,0,61,65, Okay and what can I help you with today Michael.
65156326676952972,2,73,81, I just told you my card is a habit it I left it and this is sports bar I'm not sure I'm pretty sure it's there.
65156326676952972,0,86,89, The card issued out to a fifteen nineteen east chap Chapman ask.
65156326676952972,2,96,105, No no no I'm not there I'm in I'm in Phoenix right now I'm not I'm I'm I'm on the road I'm homeless right now until I get my car I'm not a money up in Florida because I have no but I have no but twenty dollars on me I'm sure it's there but if it's not what do I do since I'm having a breakdown I may not make it tomorrow I got chest pains don't somebody call nine one one it will be done that they will come out.
65156326676952972,0,108,114, Okay so what address should I send a card to Sir you have to have an address.
65156326676952972,2,119,126, Or you can send it took to an address.
65156326676952972,0,132,140, Yes I can.
65156326676952972,2,149,156, How long will take.
65156326676952972,0,166,173, We have urgent delivery two to three days are we have seven to ten business days.
65156326676952972,2,178,179, All right let me let me make sure.
65156326676952972,2,188,194, Let me make sure.
65156326676952972,2,198,201, I'm in the wrong place to live you know nobody could do what I've done it survives the summer if you get lost you do sandals and have somebody I had to smack my dog in somebody's telling me to pick myself up using like dog dog almost got me killed eight nine times including tonight I'm supposed to you know just and everything yeah I smacked my dog yes to call animal services show me kill the dog I'm so I'm sick of this this journey and then.
65156326676952972,1,211,212, I need to talk to the six billion because they possibly.
65156326676952972,2,220,223, There's no you have no rights anymore and and it is stated B. X. or California.
65156326676952972,1,226,229, I'm done with it I just I was supposed to be here anyway.
65156326676952972,2,230,232, SO three New Orleans I'm sure they have it.
65156326676952972,1,242,248, You know if.
65156326676952972,2,251,255, If not.
65156326676952972,1,258,259, Or have to give you.
65156326676952972,2,265,273, What give me an address.
65156326676952972,1,278,283, Like Walgreens or something were.
65156326676952972,2,293,302, Would send it.
65156326676952972,0,304,307, No it would not send it to Walgreens are.
65156326676952972,1,308,316, But what would be said.
65156326676952972,0,322,330, Do you have a address appeal anything.
65156326676952972,1,337,338, No I'm no I'm on the road.
65156326676952972,2,347,356, No I'm on the road right now I'm staying I'm staying in the field right now.
65156326676952972,1,359,365, No I needed to so let me for it was listed today I have no money no money well.
65156326676952972,0,370,378, I mean if you're down there and you come you're on a roll your traveling.
65156326676952972,1,387,388, I have I have no money and I have no car nothing of walking.
65156326676952972,1,389,395, I'm sweating chest pains that's that's about it it had what called the.
65156326676952972,0,402,406, So you would you have to go through the sources Kitty local officer.
65156326676952972,1,408,415,
65156326676952972,1,417,420, You could make it easy for me.
65156326676952972,1,426,434, Three it out.
65156326676952972,1,440,444, This is what happened again hopefully they'll have it.
65156326676952972,1,451,453, SO zero whistles experience well here.
65156326676952972,0,463,471, Hello.
65156326676952972,1,476,478, Yes it.
65156326676952972,2,487,491, Is.
65156326676952972,1,494,496, Yes.
65156326676952972,1,503,512, That was killed myself.
65156326676952972,1,521,527, You just need to let me be happy about that these people be happy people are asking me to be happy.
65156326676952972,1,534,544, Your your list.
65156326676952972,2,552,558, Set.
65156326676952972,0,567,577, Hello Sir.
65156326676952972,1,580,587, I'm sorry what twenty one.
65156326676952972,0,589,599, Anything else I can help you with.
65156326676952972,1,607,613, Yeah.
65156326676952972,1,618,625, Yeah it's always people get a.
65156326676952972,2,629,631, Control.
65156326676952972,1,635,644, Thank you for what sorry did the car get by so security.
65156326676952972,0,647,650, If you didn't have your card how did.
65156326676952972,0,657,662, R..
65156326676952972,0,669,673,
65156326676952972,2,682,688, To this company that quote that we.
65156326676952972,1,691,693, I'm sure of it.
65156326676952972,2,698,699, This is.
65156326676952972,1,702,703, Reason for whatever it is.
65156326676952972,1,708,709, Each time.
65156326676952972,2,712,714, I lost in in cheek.
65156326676952972,1,717,726, The sixteen that I was accosted in.
65156326676952972,2,730,735, That's all they do here.
65156326676952972,1,739,745, It's pick on the nice the good guy the cops come they they tell you to get out you forget things you or anybody else can do what I've done four hundred miles Paul cities three times in three states and that's probably because you have with that that's just not losing things and nobody could do this.
65156326676952972,0,750,755, Don't tell me otherwise because nobody could.
65156326676952972,1,762,765, Anybody else.
65156326676952972,2,769,773, Hello.
65156326676952972,2,774,775, Sick of it I'm sick of it would you tell me what to do at a raise like dog.
65156326676952972,1,776,786, Almost you you know not.
65156326676952972,2,792,797, Street people.
65156326676952972,2,802,812, I hope everybody.
65156326676952972,0,815,824, Wanted you to call.
65156326676952972,1,834,841, Me again.
65156326676952972,0,846,850, Hi.
65156326676952972,2,852,859, Thank you.
65156326676952972,2,868,878, Well.
65156326676952972,2,886,893, I was calling I was able let me let me.
65156326676952972,2,903,908, Anyone.
65156326676952972,2,914,919, What.
65156326676952972,0,923,927, Is there anything else I can help you with if you don't have your car so to verify your information and because on automatically into your whole sixteen digit card number and verified everything so.
65156326676952972,1,936,946, Yeah okay.
65156326676952972,2,954,955, Yup yup.
65156326676952972,1,957,958, Wh what.
65156326676952972,2,960,964, It says.
65156326676952972,1,972,981, It's already here that was.
65156326676952972,0,990,1000, Hi.
65156326676952972,2,1010,1013, All of the bodies.
65156326676952972,2,1020,1027, Hello.
65156326676952972,2,1030,1036, Although my father's.
65156326676952972,0,1039,1042, I'll go to you don't have a card how did you verify your information.
65156326676952972,2,1052,1059, Well.
65156326676952972,0,1069,1078, How did you verify your card number.
65156326676952972,0,1088,1097, Car yes.
65156326676952972,1,1099,1103, What's up with that I got my social security number in the last digits of the card six one two nine.
65156326676952972,0,1104,1105, I told you that but you were listening.
65156326676952972,1,1110,1112, What was.
65156326676952972,2,1122,1127, You know.
65156326676952972,1,1129,1138, What what.
65156326676952972,2,1140,1146, Did.
65156326676952972,1,1151,1153, You can call me when you.
65156326676952972,2,1158,1160, That's six.
65156326676952972,0,1169,1179, That won't have it.
65156326676952972,2,1183,1191, I don't appear to be opening for.
65156326676952972,1,1198,1207, One of the switches.
65156326676952972,2,1210,1220, The G. people nice.
65156326676952972,2,1223,1228, This country's got it.
65156326676952972,2,1238,1240, Just.
65156326676952972,1,1241,1244, Picking up any minute now would be if they.
65156326676952972,0,1250,1257, Go to a local.
65156326676952972,0,1263,1269, Kerr the office and explain how I coughing you know car without address.
65156326676952972,2,1275,1277, Yeah you told me that I'm not stupid the only sold me I'm highly intelligent even on stress.
65156326676952972,2,1287,1288, Do this.
65156326676952972,0,1293,1303, What else can I help you with today.
65156326676952972,0,1308,1317, No thank you.
65156326676952972,2,1321,1327, You can help I hope it'll make it actually sent me the quote calling about my call.
65156326676952972,2,1335,1343, Okay.
65156326676952972,0,1353,1363, Thank you for calling you have a nice day.
65156326676952972,2,1365,1369, Yeah it probably.
67156326610157700,0,1,4, I think you for calling direct express services my name is Emily how can I help you today.
67156326610157700,3,12,18, Yeah that's what I was supposed calling all right it is it took me a really.
67156326610157700,0,22,32, You're supposed to call it.
67156326610157700,3,39,47, Four.
67156326610157700,0,48,58, Keep.
67156326610157700,3,66,67, My car and it just for the strike here.
67156326610157700,0,69,70, Could you just confirm the last four digits of the card number you're calling about.
67156326610157700,3,80,88,
67156326610157700,0,90,99, Could you please provide the last four digits of the card number you're calling about.
67156326610157700,3,109,110, Hold on I'm going to give you a quote hello.
67156326610157700,3,116,118, Eleven forty.
67156326610157700,0,121,126, Okay and the name on the card.
67156326610157700,0,127,136, In the last four digits of the social.
67156326610157700,0,140,142, Okay.
67156326610157700,0,146,154, Your name is an in house how do you say your name hello.
67156326610157700,0,158,163, It's one okay.
67156326610157700,0,164,165, Okay Mister in Thomasine.
67156326610157700,0,171,181, Okay so I would first like to take a minute Cher some important information with you it would only take a few of your second.
67156326610157700,3,190,197, Although.
67156326610157700,0,207,215, Thank you next in a warm welcome to you for being part of the direct express program updated our system to provide you with better service as always you can use your car MasterCard is accepted.
67156326610157700,0,225,232, It includes making purchases setting up automatic bill payments for utilities and smartphones as well as ATM withdrawals some new direct express features allows you go to any Walmart access Kashmir car without making a purchase with a small fee of a dollar fifty you can access the card website at W. W. dot U. S. direct express dot com you can access your card information check your balances view and print transactions to make changes to your personal information there you can also set up alerts notifying you will post that deposit balance transaction activity in changing pit be sure to select the card number beginning with the number fifty one you can perform very effectively using automated system such as Kerr verification pin change bounce a query and listen to the transaction details if you have any troubles.
67156326610157700,3,233,234, Our.
67156326610157700,0,243,245, Friendly agents are available to you twenty four seven three hundred sixty five days of the year it coming soon our new mobile app to help you stay connected with your car anytime anywhere it's still in the process to be made so keep your eyes and ears open for that.
67156326610157700,0,253,256, So Mr Antoine looks like.
67156326610157700,3,265,266, Yeah.
67156326610157700,0,271,281, We don't have a mobile phone number or a email on file for you if you could provide both of those for me today.
67156326610157700,3,290,291, Yeah hold on for my phone number.
67156326610157700,0,301,302, Okay.
67156326610157700,3,311,319, This is for.
67156326610157700,0,320,326, Okay.
67156326610157700,0,329,332, Take your time.
67156326610157700,3,337,342, For assistance on the floor their work work work.
67156326610157700,3,348,358, That was that was it okay it's two one four.
67156326610157700,0,363,373, Okay.
67156326610157700,3,383,392, Eight five nine.
67156326610157700,0,402,408, Okay.
67156326610157700,3,415,421, Zero two zero nine.
67156326610157700,0,431,440, Okay what about an email.
67156326610157700,3,442,444, S. W. L. E. S. T. G..
67156326610157700,0,453,457, T. G..
67156326610157700,3,467,473, J. P..
67156326610157700,0,481,486, J. P..
67156326610157700,3,496,501, At Yahoo dot com.
67156326610157700,0,510,517, Okay and would you like to sign up for similar today some email alert your promotional text message alert.
67156326610157700,3,526,535,
67156326610157700,0,545,552, Okay.
67156326610157700,3,557,567, I I do have two questions.
67156326610157700,0,571,574, Yes Sir.
67156326610157700,3,584,593, How how long do I be on disability.
67156326610157700,3,597,600, I just got it so as I do is this something that she would new what.
67156326610157700,0,606,611, I'm not really sure you will call the social security office and ask them about that.
67156326610157700,3,620,622, Oh okay.
67156326610157700,0,623,631, Okay so.
67156326610157700,0,636,641, So Mr Antoine is there any more questions you have for me before I let you go on about your day.
67156326610157700,3,650,659, Yeah just one more question so I get paid on the first of every month.
67156326610157700,0,669,670, I'm not sure that's up to social security they do all the money process and all that.
67156326610157700,3,676,681, Okay so my balance I. nine zero.
67156326610157700,0,687,688, Yes Sir.
67156326610157700,3,693,697, Okay I appreciate it.
67156326610157700,0,705,710, No problem you have a blessed day.
67156326610157700,3,718,720, You too.
73156110892334170,0,1,2, Thank you for calling direct express card services my name's minis please verify your full name.
73156110892334170,1,5,9, Yes.
73156110892334170,1,11,14, I'm here with Mister Donald Ridley I am his advocate but the name is Donald J. Whitley.
73156110892334170,1,16,20, Just with someone over here.
73156110892334170,1,23,33, But she's going to ask you some questions.
73156110892334170,0,37,39, A very good.
73156110892334170,0,44,53, Could you verify your full name.
73156110892334170,1,57,62, My my full name.
73156110892334170,0,66,73, No the card holder.
73156110892334170,1,74,77, Yes though real for you know this will be your.
73156110892334170,1,82,85, Donald Kinney with Keith Whitley.
73156110892334170,0,90,92, All right last for your card number.
73156110892334170,1,95,103, That's the problem.
73156110892334170,1,107,115, Clyde never received a card we just social security and this is the first time you found out about his benefits going to a card under from Camaro bank.
73156110892334170,1,118,123, Prior to that his.
73156110892334170,1,130,137, His benefits were going on to shoes bank of America card account.
73156110892334170,1,139,149, So the problem is big gave the date given him from social security a sheet but.
73156110892334170,1,153,162, There is no sixteen digit card number here every number this one this sheet exceed sixteen digits.
73156110892334170,0,172,182, Okay so I mean you go further into this conversation I would need to authorize you to speak on behalf of this account with Mystere Donald.
73156110892334170,1,189,197, Yes.
73156110892334170,0,204,212, Okay could you please verify the last for your social security number or say.
73156110892334170,1,221,223, One full full none.
73156110892334170,0,227,233, And your data by.
73156110892334170,1,234,241, Improve fifteen sixty two.
73156110892334170,0,249,250, Okay and do you authorize him to speak on behalf of your account.
73156110892334170,1,252,258, Yes.
73156110892334170,0,261,267, Okay.
73156110892334170,1,272,280, Okay.
73156110892334170,0,288,290, All right so.
73156110892334170,1,297,299, All right so what I'm.
73156110892334170,1,301,303, Here's the fluff.
73156110892334170,1,306,312,
73156110892334170,1,320,327, He.
73156110892334170,1,333,343, So security verified that his deposit of thirteen thousand three hundred and one dollars and ten cents.
73156110892334170,1,349,356, Was placed on.
73156110892334170,1,366,368, The account camera bank.
73156110892334170,1,376,386, Which the client does not have a card for it never knew that he had an account with her in a bit.
73156110892334170,1,387,391, So this call is.
73156110892334170,1,399,407, To see if he can have his funds wire transfer to bank of America.
73156110892334170,0,413,420,
73156110892334170,0,424,429, Okay.
73156110892334170,0,432,435, I can get him out a new card within two to three business days in here receive it by Monday.
73156110892334170,1,439,445, Okay.
73156110892334170,0,450,456, Because unfortunately he wouldn't be able to do that being the fact that this card is not activated.
73156110892334170,0,466,476, But I'm available funds here on the account which is fifteen thousand four hundred and two dollars and ten cents.
73156110892334170,1,479,481, Okay all right so.
73156110892334170,0,482,487, Could you just verify with me the address that he would like this card to be sent to.
73156110892334170,1,492,500, Donald.
73156110892334170,1,506,511, Go to the bank of America well for us it's.
73156110892334170,1,515,525, She took my address you need your mailing address two one three three.
73156110892334170,1,534,541, South military hop.
73156110892334170,1,550,554, Apartment one oh two.
73156110892334170,1,564,565, Chesapeake Virginia.
73156110892334170,1,572,580, Two three three.
73156110892334170,1,585,593, Two.
73156110892334170,0,595,604, Okay I do have that here it is B. at thirteen fifty feet in order to save send that card to you with urgent shipment in order to figure out where the card is going to be I say give us a call.
73156110892334170,0,608,611, I say Saturday we're open twenty four seven you can give us a call any day any time and we're going to be open and just calling to see if we have a tracking number so because this card is going to be delivery U. P. S. because it's urgent shipment.
73156110892334170,0,612,615, And just see where the card is it what day is going to be there but it's going to be shipped out tomorrow which is Friday we don't do business days so your receipt yeah you're receive it by Monday no later than Tuesday.
73156110892334170,1,619,625, Okay.
73156110892334170,0,626,629, Okay.
73156110892334170,1,636,641, Okay so.
73156110892334170,1,647,650, So the thirteen dollars will be to pick it.
73156110892334170,0,653,654, Yeah they they took it off the cart.
73156110892334170,1,660,664, Okay and he will receive his call up on Monday probably Tuesday at the latest.
73156110892334170,0,667,669, Correct.
73156110892334170,1,674,684, Well you have to do is pick the car call it in and activate.
73156110892334170,0,693,702, That's correct.
73156110892334170,1,705,709, Okay.
73156110892334170,1,719,723, Works.
73156110892334170,0,732,737, And if he wants to transfer his plans over to I think you said bank of America are you as I can remember.
73156110892334170,1,739,749,
73156110892334170,0,758,759, That once the card is activated and then he could you can just advise social security his banking account number and he could just I received his funds on that account and they just call us and get this account here close.
73156110892334170,1,765,771, Okay.
73156110892334170,0,776,777, All right well thank you guys so great.
73156110892334170,1,784,791, One other question so if you doesn't call after you transfer those funds and if he doesn't close this to kill his future so security payments will continue to go to.
73156110892334170,0,796,799, Know even if I can't even if the account is in close and he already transfer and he already told social security and he put his account and routing number with social security.
73156110892334170,1,803,806, It.
73156110892334170,0,807,812, It won't come to this account he does not have to close this account but you know I just it was just something to offer to close.
73156110892334170,1,821,825, I appreciate it.
73156110892334170,0,827,835, You're welcome.
73156110892334170,1,836,843, You've been very helpful thank you very much.
73156110892334170,0,848,855, You're welcome you guys have a great day.
73156110892334170,1,859,867, You too.
75156110913537986,2,1,8, Say for calling Derek these press card services my name is Brittany how my hoping.
75156110913537986,1,9,19, Yeah I just got a new car.
75156110913537986,2,21,25, We need to do anything.
75156110913537986,1,32,33, Up I put the pin on.
75156110913537986,2,43,44, My problem be more than happy to assist you with this today can I have your first and last name please.
75156110913537986,1,48,51, The tone I'm not.
75156110913537986,2,61,70, Thank you and the last four record number.
75156110913537986,2,77,83,
75156110913537986,1,85,89, Zero seven five two.
75156110913537986,2,99,108, Thank you no I would first like to take a minute to share some important information with you.
75156110913537986,2,113,119, We want to thank you and extend a warm welcome to you for being a part of the direct express program we have updated our systems to provide you with better service and as always you can use your card wherever master cards are accepted this includes making purchases setting up automatic bill payments and ATM withdrawals some of the new features that I had to express feature allows you to go to any Walmart location axis cash from your card without making a purchase for just a dollar fifty C. you can enjoy the new car hard a websites access required information check your balance view and print transactions and make changes to your personal information you may also set up alerts notifying you of a posted deposit low balance transaction activity and change your pin as well our website is U. S. direct express dot com also you can confirm it's giving you could perform very sexy to using our automated phone system such as card activation pin change balancing curry and listen to the transaction details our friendly agents are also available to help you twenty four seven incoming phone is our mobile app no I do have your account here in front of me would you like to add a mobile phone number to the account.
75156110913537986,1,129,136, Yes.
75156110913537986,2,139,144, All right and what is the phone number that you like to add to the account.
75156110913537986,1,151,154, Eight one eight nine one five nine eight zero six.
75156110913537986,2,156,159, Thank you would you like to add an email adjusted to the account as well.
75156110913537986,1,163,173, Yes.
75156110913537986,2,179,186, Okay what's your.
75156110913537986,1,189,199, My whole name me too and I'm not it yeah who dot com.
75156110913537986,2,208,211, Thank you.
75156110913537986,2,213,221, All right and I have Madonna New York at Yahoo dot com.
75156110913537986,1,223,229, Yes.
75156110913537986,2,239,240, All right so I did go ahead and get that information at it no I do wanna let you know about the balance alerts that we have with the balance alerts they can come either via text message or via email would you like to sign up for one of those today.
75156110913537986,2,249,258,
75156110913537986,1,264,268, No not really.
75156110913537986,1,269,277, All right.
75156110913537986,2,279,286, No problem thank you.
75156110913537986,2,290,292, So the live stuff with all the information for from the verified here during the phone call is there anything else will be to assist you with today.
75156110913537986,1,300,310, No that's all or.
75156110913537986,1,317,318, Does it let me know that every month so so security code put the money for me yes in this copy.
75156110913537986,2,325,333, They're supposed to but as far as if they will or won't I wouldn't have that information as a result of this security administration.
75156110913537986,1,339,343, Oh okay but I don't see it I had to call the you will call the closest realty yes.
75156110913537986,2,352,360, You apostles security yes.
75156110913537986,1,362,369, Yes okay I appreciate that thank you so much for your help.
75156110913537986,2,370,378, No problem and thank you for calling have a great day okay.
75156110913537986,1,381,389, Bye bye.
75156326512310964,0,1,9, Thank you for calling direct express card services this is Mercedes how may I help you.
75156326512310964,1,18,25, Hi I was gonna say my deposit hasn't gone through yet it says pending.
75156326512310964,0,29,30, May I have the last four digits of your card number please.
75156326512310964,1,32,37,
75156326512310964,1,39,41, Nine ninety six.
75156326512310964,0,48,53, Your first and last name.
75156326512310964,1,58,67, Donna Karan.
75156326512310964,0,71,75, The in the last four of your social please.
75156326512310964,1,80,86, Eight three six four.
75156326512310964,0,91,92, Thank you miss macleod let's see.
75156326512310964,0,96,106, No you're fine I see that it's logged is probably still I would say check around eight o'clock in the morning but it would probably come on sometime before then but thinking that's probably just what it is.
75156326512310964,0,111,112, It prior I'm not I don't think that it hits at midnight exactly I think it might come like over you know over the night because in my time is still eleven forty two.
75156326512310964,1,115,117, Yeah I got you so maybe it.
75156326512310964,0,119,127, Yeah I would say just check around eight in the morning but it'd probably be only before then I would say.
75156326512310964,1,128,138, Four or five.
75156326512310964,1,148,155, All right well okay.
75156326512310964,0,165,166, Was there anything else I could assist you with this quote.
75156326512310964,1,170,175, Nope that's it and I also wanted to set up the notification so I could take a message.
75156326512310964,0,185,191, Okay hang on I can go ahead and set that up for you.
75156326512310964,0,198,199, May I get you to verify your phone number for me.
75156326512310964,1,205,212, Four seven eight nine six one six.
75156326512310964,0,214,223, C..
75156326512310964,0,229,232, Okay.
75156326512310964,0,239,248, And you set those up for you.
75156326512310964,0,249,252,
75156326512310964,0,254,256, Okay give me a minute or two while I set these up real quick.
75156326512310964,1,258,264, Well.
75156326512310964,0,269,272, Okay miss macleod I went and got those all those notification set up for you was there anything else I can help you with.
75156326512310964,0,282,283, All right thank you for calling direct express card services basically you have a great night.
75156326512310964,1,286,292, Thank you.
75156326512310964,0,297,306, No problem.
77156326328112316,2,1,7, They've gone records record servers my name is Matthew how may I help you.
77156326328112316,0,8,16, Hi.
77156326328112316,2,24,25, Hey how.
77156326328112316,0,27,35, We just tried to activate a card that tells us that you need more information on this profile.
77156326328112316,2,39,44, Yes so we need to let you know how the card works essentially and make sure that we have the correct information.
77156326328112316,2,47,52, So give me one moment so before I look up your account just wanna give you welcome to direct express which you know we have updated our services to go ahead and provide you with the service as well so as always you can still go ahead and use your card anywhere that MasterCard is accepted.
77156326328112316,2,61,71, And this includes making purchases setting up automatic bill payments for utilities and smartphones as well as a team with girls and some of the new features are the direct express cast after access feature which allows you to go to a Walmart location and access cash from your card without making a purchase am please refer to your fee schedule however that's currently one fifty.
77156326328112316,2,79,80, And we also have the new card holder website you can enjoy taxes your card information check your balance if you imprint transactions and make changes to your personal information etcetera.
77156326328112316,2,83,86, You may also set up alerts to notify you of opposed to deposit low balance and transaction activity in chains and pain and he's go to W. W. W. dot U. S. directors press dot com to access the website and please be sure to select the car beginning with five one and lastly also you can perform various activities using our automated phone system such as card activation pain change balance enquiry and listen to the transaction details in all friendly agents are available to you twenty four seven three sixty five and lastly if users our phone we also have a new mobile app that is coming out and see if they can activate the account anywhere.
77156326328112316,2,90,99, Now lastly as we update your information may have your first and last name.
77156326328112316,0,105,106,
77156326328112316,2,108,113, All right and may I have the last forever social.
